effect	effect_list	scope	value
wh3_dlc24_effect_ability_enable_agonys_succession	wh3_dlc24_recipe_agonys_succession	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_bears_bulwark	wh3_dlc24_recipe_bears_bulwark	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_craven_scent	wh3_dlc24_recipe_craven_scent	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_deadeyes_sting	wh3_dlc24_recipe_deadeyes_sting	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_ember_dread	wh3_dlc24_recipe_ember_dread	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_entropous	wh3_dlc24_recipe_entropous	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_fragmentii	wh3_dlc24_recipe_fragmentii	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_frostwyverns_toil	wh3_dlc24_recipe_frostwyverns_toil	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_gait_of_thorns	wh3_dlc24_recipe_gait_of_thorns	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_hags_denial	wh3_dlc24_recipe_hags_denial	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_harrowing_coil	wh3_dlc24_recipe_harrowing_coil	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_hushed_cast	wh3_dlc24_recipe_hushed_cast	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_incarnates_wrath	wh3_dlc24_recipe_incarnates_wrath	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_inversus	wh3_dlc24_recipe_inversus	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_leshys_embrace	wh3_dlc24_recipe_leshys_embrace	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_rats_grit	wh3_dlc24_recipe_rats_grit	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_spectres_miasma	wh3_dlc24_recipe_spectres_miasma	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_spirited_away	wh3_dlc24_recipe_spirited_away	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_typhlosis	wh3_dlc24_recipe_typhlosis	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_unburdened_step	wh3_dlc24_recipe_unburdened_step	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_whiff_of_madness	wh3_dlc24_recipe_whiff_of_madness	character_to_character_own_banner	1.0000
wh3_dlc24_effect_ability_enable_wraith_sight	wh3_dlc24_recipe_wraith_sight	character_to_character_own_banner	1.0000
wh2_main_effect_ability_enable_regeneration	wh3_dlc25_character_initiative_chs_chaos_lord_nur_01	character_to_character_own	1.0000
wh_main_effect_character_stat_unit_health	wh3_dlc25_character_initiative_chs_chaos_lord_nur_01	character_to_character_own	5.0000
wh3_main_effect_ability_enable_blight_swarm	wh3_dlc25_character_initiative_chs_chaos_lord_nur_02	character_to_character_own	1.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc25_character_initiative_chs_chaos_lord_nur_02	character_to_character_own	5.0000
wh_main_effect_character_stat_melee_attack	wh3_dlc25_character_initiative_chs_chaos_lord_nur_03	character_to_character_own	5.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc25_character_initiative_chs_chaos_lord_nur_03	character_to_character_own	5.0000
wh3_main_effect_corruption_nurgle_characters	wh3_dlc25_character_initiative_chs_chaos_lord_nur_04	character_to_province_any	1.0000
wh_main_effect_province_growth_characters	wh3_dlc25_character_initiative_chs_chaos_lord_nur_04	character_to_province_own	15.0000
wh3_main_effect_ability_enable_chaos_armour	wh3_dlc25_character_initiative_chs_chaos_lord_nur_05	character_to_character_own	1.0000
wh_main_effect_character_stat_missile_resistance	wh3_dlc25_character_initiative_chs_chaos_lord_nur_05	character_to_character_own	10.0000
wh_main_effect_character_stat_ward_save	wh3_dlc25_character_initiative_chs_chaos_lord_nur_06	character_to_character_own	5.0000
wh3_main_effect_ability_enable_gate_of_nurgle	wh3_dlc25_character_initiative_chs_chaos_lord_nur_07	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc25_character_initiative_chs_chaos_lord_nur_08	character_to_force_own_alt_text	-15.0000
wh3_dlc20_effect_xp_gain_rate_undivided_units	wh3_dlc25_character_initiative_chs_chaos_lord_nur_08	character_to_force_own_alt_text	15.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc25_character_initiative_chs_chaos_lord_nur_09	character_to_force_own_unseen	15.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc25_character_initiative_chs_chaos_lord_nur_09	character_to_character_own	15.0000
wh2_main_effect_ability_enable_regeneration	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_01	character_to_character_own	1.0000
wh_main_effect_character_stat_unit_health	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_01	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_02	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_02	character_to_character_own	-10.0000
wh3_main_effect_ability_enable_eldritch_aura	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_03	character_to_character_own	1.0000
wh_main_effect_character_stat_magic_resistance	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_03	character_to_character_own	15.0000
wh3_main_effect_corruption_nurgle_characters	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_04	character_to_province_any	1.0000
wh_main_effect_province_growth_characters	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_04	character_to_province_own	15.0000
wh3_dlc20_effect_ability_enable_bound_stream_of_corruption	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_05	character_to_character_own	1.0000
wh3_main_effect_ability_enable_blight_swarm	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_06	character_to_character_own	1.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_06	character_to_character_own	5.0000
wh2_dlc11_effect_ability_enable_bound_purple_sun_of_xereus	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_07	character_to_character_own	1.0000
wh2_main_effect_agent_action_hinder_agent_wound_buff	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_08	character_to_character_own	15.0000
wh2_main_effect_agent_action_hinder_army_block_army_buff	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_08	character_to_character_own	-10.0000
wh2_main_effect_agent_action_assist_army_scouting_buff	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_09	character_to_character_own	15.0000
wh2_main_effect_agent_action_passive_spread_corruption_buff_chs	wh3_dlc25_character_initiative_chs_chaos_sorcerer_nur_09	character_to_character_own	2.0000
wh3_dlc29_effect_pooled_resource_chs_eotg_per_turn_hidden	wh3_dlc25_faction_initiative_chs_nurgle_3_units_plague_ogres	faction_to_faction_own_unseen	1.0000
wh3_dlc29_effect_pooled_resource_chs_eotg_per_turn_hidden	wh3_dlc25_faction_initiative_chs_nurgle_5_units_toad_dragon	faction_to_faction_own_unseen	1.0000
wh3_dlc25_effect_province_growth_alliances	wh3_dlc25_karl_alliance_bonus	faction_to_province_own_unseen	5.0000
wh3_main_effect_character_campaign_experience_mod	wh3_dlc26_character_initiative_ogr_big_name_bragg_01	character_to_character_own	20.0000
wh_main_effect_character_stat_ward_save	wh3_dlc26_character_initiative_ogr_big_name_bragg_01	character_to_character_own	5.0000
wh3_dlc24_effect_attribute_enable_executor	wh3_dlc26_character_initiative_ogr_big_name_bragg_02	character_to_character_own	1.0000
wh_main_effect_character_stat_ap_damage	wh3_dlc26_character_initiative_ogr_big_name_bragg_02	character_to_character_own	50.0000
wh_main_effect_character_stat_aura_leadership_effect	wh3_dlc26_character_initiative_ogr_big_name_bragg_03	character_to_character_own	4.0000
wh_main_effect_force_stat_leadership_enemy_unit	wh3_dlc26_character_initiative_ogr_big_name_bragg_03	force_to_force_enemy_regionwide	-4.0000
wh2_main_effect_agent_action_hinder_agent_assassinate_buff	wh3_dlc26_character_initiative_ogr_big_name_bragg_04	character_to_character_own	25.0000
wh_main_effect_attribute_enable_unbreakable	wh3_dlc26_character_initiative_ogr_big_name_bragg_04	character_to_character_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_coin_counter	wh3_dlc26_character_initiative_ogr_big_name_coin_counter	character_to_character_own	1.0000
wh3_dlc26_paymaster_abilities_cooldown	wh3_dlc26_character_initiative_ogr_big_name_coin_counter	character_to_character_own	-25.0000
wh_main_effect_force_all_campaign_upkeep	wh3_dlc26_character_initiative_ogr_big_name_coin_counter	character_to_force_own_alt_text	-10.0000
wh3_dlc25_effect_ability_enable_bound_burning_head	wh3_dlc26_character_initiative_ogr_big_name_firebelly_marrow_muncher	character_to_character_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_marrow_muncher	wh3_dlc26_character_initiative_ogr_big_name_firebelly_marrow_muncher	character_to_character_own	1.0000
wh_main_effect_character_stat_magic_resistance	wh3_dlc26_character_initiative_ogr_big_name_firebelly_marrow_muncher	character_to_character_own	15.0000
wh2_dlc17_effect_ability_enable_rowdy	wh3_dlc26_character_initiative_ogr_big_name_golgfag_01	character_to_character_own	1.0000
wh_main_effect_character_stat_physical_resistance	wh3_dlc26_character_initiative_ogr_big_name_golgfag_01	force_to_force_own	5.0000
wh2_dlc11_cst_increase_sea_encounter	wh3_dlc26_character_initiative_ogr_big_name_golgfag_02	character_to_faction	1.0000
wh_main_effect_force_all_campaign_movement_range	wh3_dlc26_character_initiative_ogr_big_name_golgfag_02	character_to_force_own_unseen	5.0000
wh3_dlc26_effect_ability_enable_strength_from_flesh_vs_humans	wh3_dlc26_character_initiative_ogr_big_name_golgfag_03	character_to_character_own	1.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc26_character_initiative_ogr_big_name_golgfag_03	character_to_character_own	5.0000
wh3_dlc25_nur_ability_enable_witness_me	wh3_dlc26_character_initiative_ogr_big_name_golgfag_04	character_to_character_own	1.0000
wh_main_faction_political_diplomacy_mod	wh3_dlc26_character_initiative_ogr_big_name_golgfag_04	faction_to_faction_own_unseen	10.0000
wh2_main_effect_grant_immortality_hero	wh3_dlc26_character_initiative_ogr_big_name_gore_drenched	character_to_character_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_gore_drenched	wh3_dlc26_character_initiative_ogr_big_name_gore_drenched	character_to_character_own	1.0000
wh_main_effect_character_stat_ward_save	wh3_dlc26_character_initiative_ogr_big_name_gore_drenched	character_to_character_own	5.0000
wh3_dlc26_effect_attribute_enable_devastating_flanker_ogr_gorgers	wh3_dlc26_character_initiative_ogr_big_name_gorger_herder	character_to_force_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_gorger_herder	wh3_dlc26_character_initiative_ogr_big_name_gorger_herder	character_to_character_own	1.0000
wh_main_effect_character_stat_ap_damage	wh3_dlc26_character_initiative_ogr_big_name_gorger_herder	character_to_character_own	50.0000
wh3_dlc24_effect_ability_enable_colossal_strike	wh3_dlc26_character_initiative_ogr_big_name_greasus_drakecrush	character_to_character_own	1.0000
wh_main_effect_character_stat_bonus_vs_large	wh3_dlc26_character_initiative_ogr_big_name_greasus_drakecrush	character_to_character_own	10.0000
wh3_dlc26_effect_ability_enable_murderous_charge_crushers	wh3_dlc26_character_initiative_ogr_big_name_groundshaker	character_to_force_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_groundshaker	wh3_dlc26_character_initiative_ogr_big_name_groundshaker	character_to_character_own	1.0000
wh_main_effect_character_stat_charge_bonus_add	wh3_dlc26_character_initiative_ogr_big_name_groundshaker	character_to_character_own	15.0000
wh3_dlc26_effect_name_title_ogr_big_name_impenetrable_gut	wh3_dlc26_character_initiative_ogr_big_name_impenetrable_gut	character_to_character_own	1.0000
wh_main_effect_character_stat_armour	wh3_dlc26_character_initiative_ogr_big_name_impenetrable_gut	character_to_character_own	15.0000
wh_main_effect_character_stat_missile_resistance	wh3_dlc26_character_initiative_ogr_big_name_impenetrable_gut	character_to_character_own	10.0000
wh2_dlc10_effect_ability_enable_guardian	wh3_dlc26_character_initiative_ogr_big_name_kin_guard	character_to_character_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_kin_guard	wh3_dlc26_character_initiative_ogr_big_name_kin_guard	character_to_character_own	1.0000
wh_main_effect_character_stat_physical_resistance	wh3_dlc26_character_initiative_ogr_big_name_kin_guard	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc26_character_initiative_ogr_big_name_magic_feaster	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc26_character_initiative_ogr_big_name_magic_feaster	character_to_character_own	-10.0000
wh3_dlc26_effect_name_title_ogr_big_name_magic_feaster	wh3_dlc26_character_initiative_ogr_big_name_magic_feaster	character_to_character_own	1.0000
wh3_dlc26_effect_ability_enable_bonecrusher_bound	wh3_dlc26_character_initiative_ogr_big_name_marrow_muncher	character_to_character_own	1.0000
wh3_dlc26_effect_name_title_ogr_big_name_marrow_muncher	wh3_dlc26_character_initiative_ogr_big_name_marrow_muncher	character_to_character_own	1.0000
wh_main_effect_character_stat_magic_resistance	wh3_dlc26_character_initiative_ogr_big_name_marrow_muncher	character_to_character_own	15.0000
wh3_dlc26_effect_name_title_ogr_big_name_unstoppable	wh3_dlc26_character_initiative_ogr_big_name_unstoppable	character_to_character_own	1.0000
wh_main_effect_attribute_enable_unbreakable	wh3_dlc26_character_initiative_ogr_big_name_unstoppable	character_to_character_own	1.0000
wh_main_effect_character_stat_leadership_aura_size	wh3_dlc26_character_initiative_ogr_big_name_unstoppable	character_to_character_own	25.0000
wh3_dlc26_effect_force_campaign_stance_tunnelling_movement	wh3_dlc26_character_initiative_ogr_maw_offering_1	character_to_force_own_unseen	1.0000
wh3_dlc26_pooled_resource_path_of_the_butcher_generated	wh3_dlc26_character_initiative_ogr_maw_offering_1	character_to_faction_when_on_map_unseen	1.0000
wh_main_effect_force_all_campaign_movement_range	wh3_dlc26_character_initiative_ogr_maw_offering_1	character_to_force_own_unseen	10.0000
wh3_dlc26_effect_enable_attrition_offerings_to_the_maw	wh3_dlc26_character_initiative_ogr_maw_offering_2	force_to_force_enemy_provincewide	1.0000
wh3_dlc26_pooled_resource_path_of_the_butcher_generated	wh3_dlc26_character_initiative_ogr_maw_offering_2	character_to_faction_when_on_map_unseen	1.0000
wh_main_effect_force_all_campaign_raid_income	wh3_dlc26_character_initiative_ogr_maw_offering_2	character_to_force_own_unseen	20.0000
wh3_dlc26_effect_ability_enable_bone_to_pot	wh3_dlc26_character_initiative_ogr_maw_offering_3	agent_to_parent_army_general_own	1.0000
wh3_dlc26_pooled_resource_path_of_the_butcher_generated	wh3_dlc26_character_initiative_ogr_maw_offering_3	character_to_faction_when_on_map_unseen	1.0000
wh3_main_effect_winds_of_magic_character	wh3_dlc26_character_initiative_ogr_maw_offering_3	character_to_force_own_unseen	2.0000
wh3_dlc26_effect_ability_enable_feasting_frenzy	wh3_dlc26_character_initiative_ogr_maw_offering_4	agent_to_parent_army_general_own	1.0000
wh3_dlc26_pooled_resource_path_of_the_butcher_generated	wh3_dlc26_character_initiative_ogr_maw_offering_4	character_to_faction_when_on_map_unseen	1.0000
wh_main_effect_force_stat_melee_attack	wh3_dlc26_character_initiative_ogr_maw_offering_4	character_to_force_own	5.0000
wh3_dlc29_effect_pooled_resource_chs_eotg_per_turn_hidden	wh3_dlc26_faction_initiative_chs_khorne_3_units_bloodbeast	faction_to_faction_own_unseen	1.0000
wh3_dlc29_effect_pooled_resource_chs_eotg_per_turn_hidden	wh3_dlc26_faction_initiative_chs_khorne_5_units_slaughterbrute	faction_to_faction_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_khornes_wrath	wh3_dlc26_faction_initiative_kho_arbaal_01	faction_to_force_own	1.0000
wh3_dlc26_effect_arbaal_battle_khorne_favour	wh3_dlc26_faction_initiative_kho_arbaal_02	faction_to_force_own_unseen	100.0000
wh3_dlc26_effect_arbaal_challenge_debuff	wh3_dlc26_faction_initiative_kho_arbaal_02	faction_to_faction_own_unseen	1.0000
wh3_dlc26_effect_arbaal_challenge_khorne_favour	wh3_dlc26_faction_initiative_kho_arbaal_02	faction_to_faction_own_unseen	5.0000
wh3_dlc26_effect_arbaal_battle_khorne_favour	wh3_dlc26_faction_initiative_kho_arbaal_03	faction_to_force_own_unseen	100.0000
wh3_dlc26_effect_arbaal_challenge_buff	wh3_dlc26_faction_initiative_kho_arbaal_03	faction_to_faction_own_unseen	1.0000
wh3_dlc26_effect_arbaal_challenge_khorne_favour	wh3_dlc26_faction_initiative_kho_arbaal_03	faction_to_faction_own_unseen	5.0000
wh3_dlc26_effect_arbaal_battle_corruption	wh3_dlc26_faction_initiative_kho_arbaal_04	faction_to_faction_own_unseen	8.0000
wh3_dlc26_effect_arbaal_challenge_corruption	wh3_dlc26_faction_initiative_kho_arbaal_04	faction_to_faction_own_unseen	15.0000
wh3_dlc26_effect_arbaal_battle_blood_host	wh3_dlc26_faction_initiative_kho_arbaal_05	faction_to_faction_own_unseen	20.0000
wh3_dlc26_effect_arbaal_challenge_blood_host	wh3_dlc26_faction_initiative_kho_arbaal_05	faction_to_faction_own_unseen	1.0000
wh3_dlc26_effect_arbaal_battle_cult	wh3_dlc26_faction_initiative_kho_arbaal_06	faction_to_faction_own_unseen	20.0000
wh3_dlc26_effect_arbaal_challenge_cult	wh3_dlc26_faction_initiative_kho_arbaal_06	faction_to_faction_own_unseen	1.0000
wh3_dlc26_effect_force_all_campaign_movement_range_arbaal_factionwide	wh3_dlc26_faction_initiative_kho_arbaal_07	faction_to_force_own	8.0000
wh_main_effect_force_all_campaign_movement_range	wh3_dlc26_faction_initiative_kho_arbaal_07	faction_to_force_faction_leader	25.0000
wh3_dlc26_effect_force_all_campaign_upkeep_arbaal_factionwide	wh3_dlc26_faction_initiative_kho_arbaal_08	faction_to_force_own	-8.0000
wh_main_effect_force_all_campaign_upkeep	wh3_dlc26_faction_initiative_kho_arbaal_08	faction_to_force_faction_leader	-25.0000
wh3_dlc26_effect_ability_enable_alpha_hammer	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_charge_bonus_add_wolf_riders	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma	character_to_force_own_unseen	10.0000
wh_main_effect_force_stat_speed_wolf_riders	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma	character_to_force_own_unseen	15.0000
wh3_dlc26_effect_ability_enable_arrer_catcha	wh3_dlc26_force_initiative_grn_da_plan_arrer_catcha	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_missile_block_chance_grn_goblin_infantry	wh3_dlc26_force_initiative_grn_da_plan_arrer_catcha	character_to_force_own_unseen	25.0000
wh3_dlc26_effect_ability_enable_block_and_smash_orc	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_block_and_smash_troll	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_trolls	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_broodmothers	wh3_dlc26_force_initiative_grn_da_plan_broodmothers	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_leadership_spider	wh3_dlc26_force_initiative_grn_da_plan_broodmothers	character_to_force_own_unseen	10.0000
wh3_dlc26_effect_ability_enable_cheerleadaz	wh3_dlc26_force_initiative_grn_da_plan_cheerleadaz	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_goblin_infantry	wh3_dlc26_force_initiative_grn_da_plan_cheerleadaz	character_to_force_own_unseen	1.0000
wh3_main_effect_character_campaign_experience_mod	wh3_dlc26_force_initiative_grn_da_plan_cheerleadaz	character_to_character_own	300.0000
wh3_dlc26_effect_ability_enable_cut_da_chains	wh3_dlc26_force_initiative_grn_da_plan_cut_da_chains	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_remove_rampage_grn_feral_wyvern	wh3_dlc26_force_initiative_grn_da_plan_cut_da_chains	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_immovable_bulwark	wh3_dlc26_force_initiative_grn_da_plan_da_black_bastion	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_unstoppable_choppas	wh3_dlc26_force_initiative_grn_da_plan_da_black_bastion	character_to_force_own_unseen	1.0000
wh2_dlc10_effect_attribute_enable_perfect_vigour	wh3_dlc26_force_initiative_grn_da_plan_da_greatest_warlord	character_to_character_own	1.0000
wh3_dlc25_grn_waaagh_gained_per_turn	wh3_dlc26_force_initiative_grn_da_plan_da_greatest_warlord	character_to_faction_unseen	3.0000
wh_main_effect_character_stat_ward_save	wh3_dlc26_force_initiative_grn_da_plan_da_greatest_warlord	character_to_character_own	10.0000
wh3_main_effect_force_all_campaign_movement_range_post_battle_win	wh3_dlc26_force_initiative_grn_da_plan_drag_da_wagonz	character_to_character_own	25.0000
wh3_main_effect_force_all_campaign_movement_range_post_raze_bonus	wh3_dlc26_force_initiative_grn_da_plan_drag_da_wagonz	character_to_character_own	50.0000
wh_main_effect_force_all_campaign_razing_income	wh3_dlc26_force_initiative_grn_da_plan_drag_da_wagonz	character_to_character_own	35.0000
wh3_dlc26_effect_ability_cooldown_pump_harder	wh3_dlc26_force_initiative_grn_da_plan_drink_an_drive	character_to_force_own_unseen	-50.0000
wh3_dlc26_effect_attribute_perfect_vigour_pump_wagons	wh3_dlc26_force_initiative_grn_da_plan_drink_an_drive	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_earthquake	wh3_dlc26_force_initiative_grn_da_plan_earthquake	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_eat_da_runts	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_goblin_infantry	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_bonus_vs_infantry_grn_giant	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts	character_to_force_own_unseen	10.0000
wh3_dlc26_effect_force_stat_ward_grn_giant	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts	character_to_force_own_unseen	30.0000
wh3_dlc26_effect_cause_fear_black_orcs	wh3_dlc26_force_initiative_grn_da_plan_eavy_metal_marchin	character_to_force_own_unseen	1.0000
wh_main_effect_force_stat_armour_black_orcs	wh3_dlc26_force_initiative_grn_da_plan_eavy_metal_marchin	character_to_force_own_unseen	25.0000
wh3_dlc26_effect_ability_enable_erd_mantality	wh3_dlc26_force_initiative_grn_da_plan_erd_mentality	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_squig_herds	wh3_dlc26_force_initiative_grn_da_plan_erd_mentality	character_to_force_own_unseen	1.0000
wh_dlc06_effect_upkeep_decrease_squigs	wh3_dlc26_force_initiative_grn_da_plan_erd_mentality	character_to_force_own_unseen	-5.0000
wh3_dlc26_effect_ability_enable_fly_at_da_smoke	wh3_dlc26_force_initiative_grn_da_plan_fly_at_da_smoke	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_range_doom_diver_catapult	wh3_dlc26_force_initiative_grn_da_plan_fly_at_da_smoke	character_to_force_own_unseen	10.0000
wh3_dlc26_effect_force_campaign_stance_tunnelling_attack_movement	wh3_dlc26_force_initiative_grn_da_plan_get_dem_from_below	character_to_force_own_unseen	1.0000
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh3_dlc26_force_initiative_grn_da_plan_get_dem_from_below	character_to_force_own_unseen	25.0000
wh_main_effect_general_mod_tunnel_interception_chance	wh3_dlc26_force_initiative_grn_da_plan_get_dem_from_below	character_to_character_own	20.0000
wh3_dlc26_effect_ability_enable_goin_commando	wh3_dlc26_force_initiative_grn_da_plan_goin_commando	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_ability_enable_smoke_bomb	wh3_dlc26_force_initiative_grn_da_plan_goin_commando	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_enable_stalk_grn_characters	wh3_dlc26_force_initiative_grn_da_plan_goin_commando	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_enable_vanguard_grn_characters	wh3_dlc26_force_initiative_grn_da_plan_goin_commando	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_passive_ability_enable_keep_bossin	wh3_dlc26_force_initiative_grn_da_plan_keep_bossin	character_to_force_own_unseen	1.0000
wh_main_effect_character_stat_aura_leadership_effect	wh3_dlc26_force_initiative_grn_da_plan_keep_bossin	character_to_force_own_unseen	5.0000
wh_main_effect_character_stat_leadership_aura_size	wh3_dlc26_force_initiative_grn_da_plan_keep_bossin	character_to_force_own_unseen	25.0000
wh3_dlc26_effect_ability_enable_keep_em_ungry	wh3_dlc26_force_initiative_grn_da_plan_keep_em_ungry	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_upkeep_goblin_squig_wolf_boar_units	wh3_dlc26_force_initiative_grn_da_plan_keep_em_ungry	character_to_force_own_unseen	-50.0000
wh3_dlc26_effect_ability_enable_lead_da_charge	wh3_dlc26_force_initiative_grn_da_plan_lead_da_charge	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_attribute_grn_boars	wh3_dlc26_force_initiative_grn_da_plan_lead_da_charge	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_mass_boars	wh3_dlc26_force_initiative_grn_da_plan_lead_da_charge	character_to_force_own_unseen	25.0000
wh3_dlc26_effect_contact_phase_flammable_grn_squig_herd	wh3_dlc26_force_initiative_grn_da_plan_light_em_up	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_flaming_attack_grn_archers	wh3_dlc26_force_initiative_grn_da_plan_light_em_up	character_to_force_own_unseen	1.0000
wh3_dlc20_effect_attribute_immune_to_contact_stat_effects	wh3_dlc26_force_initiative_grn_da_plan_little_wont_urt	character_to_force_own	1.0000
wh_main_effect_force_army_campaign_attrition_all_resistance	wh3_dlc26_force_initiative_grn_da_plan_little_wont_urt	character_to_force_own	-25.0000
wh3_dlc26_effect_ability_enable_load_yerself	wh3_dlc26_force_initiative_grn_da_plan_load_yerself	character_to_force_own_unseen	1.0000
wh3_dlc26_effect_force_stat_weapon_strength_rogue_idol	wh3_dlc26_force_initiative_grn_da_plan_load_yerself	character_to_force_own_unseen	15.0000
wh2_dlc16_effect_force_enable_attribute_guerrilla_deployment_all	wh3_dlc26_force_initiative_grn_da_plan_master_planner	character_to_force_own	1.0000
wh3_dlc26_effect_passive_ability_enable_da_master_planner	wh3_dlc26_force_initiative_grn_da_plan_master_planner	character_to_character_own	1.0000
wh2_dlc11_effect_force_stat_missile_damage_grn_all_ranged_cavalry_chariots	wh3_dlc26_force_initiative_grn_da_plan_netted_targets	character_to_force_own_unseen	15.0000
