invalid_usage_flag	special_ability
manning_equipment	wh3_main_spell_tzeentch_tzeentchs_firestorm_upgraded
climbing	wh3_main_spell_tzeentch_tzeentchs_firestorm
manning_equipment	wh3_main_spell_tzeentch_tzeentchs_firestorm
engaged_in_melee	wh3_main_unit_abilities_elemental_breath
moving	wh3_main_unit_abilities_gnoblar_traps
climbing	wh3_main_weapon_abilities_axe_of_tor
engaged_in_melee	wh3_main_weapon_abilities_nuku_chos_crossbow
engaged_in_melee	wh3_twa07_unit_abilities_searing_torrent
climbing	wh_dlc03_spell_beasts_the_amber_spear_upgraded
manning_equipment	wh_dlc03_spell_beasts_the_amber_spear_upgraded
climbing	wh_dlc03_spell_beasts_the_amber_spear
manning_equipment	wh_dlc03_spell_beasts_the_amber_spear
climbing	wh_dlc03_spell_beasts_transformation_of_kadon
climbing	wh_dlc03_spell_bound_the_amber_spear
manning_equipment	wh_dlc03_spell_bound_the_amber_spear
climbing	wh_dlc03_spell_wild_bray_scream_upgraded
climbing	wh_dlc03_spell_wild_bray_scream
climbing	wh_dlc03_spell_wild_savage_dominion
climbing	wh_dlc03_spell_wild_viletide_upgraded
climbing	wh_dlc03_spell_wild_viletide
climbing	wh_dlc04_spell_bound_banishment_innate
climbing	wh_dlc04_spell_bound_banishment
climbing	wh_dlc04_spell_bound_soulfire_upgraded
climbing	wh_dlc04_spell_vampires_gaze_of_nagash_helman
manning_equipment	wh_dlc04_spell_vampires_gaze_of_nagash_helman
climbing	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
manning_equipment	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
morale_is_broken_or_lower	wh_dlc04_spell_vampires_invocation_of_nehek_helman
morale_is_broken_or_lower	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
climbing	wh_dlc04_spell_vampires_raise_dead_helman
climbing	wh_dlc04_spell_vampires_raise_dead_strigoi
climbing	wh_dlc04_spell_vampires_raise_dead_upgraded_helman
climbing	wh_dlc04_spell_vampires_raise_dead_upgraded_strigoi
climbing	wh_dlc04_spell_vampires_wind_of_death_helman
climbing	wh_dlc05_spell_life_awakening_of_the_wood
climbing	wh_dlc05_spell_life_awakening_the_wood_branchwraith
climbing	wh_dlc06_lord_abilities_tricksy_traps
health_above_20%	wh_dlc06_quest_abilities_grand_faiths_bastion
climbing	wh_dlc06_spell_bound_vindictive_glare
manning_equipment	wh_dlc06_spell_bound_vindictive_glare
climbing	wh_dlc06_unit_abilities_skyhammer_bomb
grounded	wh_dlc06_unit_abilities_skyhammer_bomb
phase_is_deployment	wh_dlc06_unit_abilities_skyhammer_bomb
climbing	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
health_below_25%	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
on_a_platform	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
climbing	wh_dlc06_weapon_abilities_skarsniks_prodder
manning_equipment	wh_dlc06_weapon_abilities_skarsniks_prodder
climbing	wh_dlc07_item_abilities_wrath_of_manann
climbing	wh_dlc08_item_abilities_ancient_frost_wyrm_scale
climbing	wh_dlc08_item_abilities_great_horn_of_dragon_ogre
climbing	wh_dlc08_lord_abilities_copious_vomit
engaged_in_melee	wh_dlc08_lord_abilities_copious_vomit
climbing	wh_dlc08_lord_abilities_seafang
climbing	wh_dlc08_quest_abilities_howling_winter
flying_currently	wh_dlc08_quest_abilities_howling_winter
morale_is_broken_or_lower	wh_main_hero_abilities_immortal_will
climbing	wh_main_item_abilities_fiery_ring_of_thori
hp_replenish_cap_reached	wh_main_item_abilities_potion_of_healing
morale_is_broken_or_lower	wh_main_item_abilities_potion_of_healing
morale_is_broken_or_lower	wh_main_item_abilities_potion_of_toughness
morale_is_broken_or_lower	wh_main_item_abilities_regenerating_flesh
climbing	wh_main_spell_big_waaagh_brain_bursta_upgraded
climbing	wh_main_spell_big_waaagh_brain_bursta
climbing	wh_main_spell_big_waaagh_eadbutt_upgraded
climbing	wh_main_spell_big_waaagh_eadbutt
climbing	wh_main_spell_big_waaagh_foot_of_gork_upgraded
climbing	wh_main_spell_big_waaagh_foot_of_gork
climbing	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
manning_equipment	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
climbing	wh_main_spell_big_waaagh_gaze_of_mork
manning_equipment	wh_main_spell_big_waaagh_gaze_of_mork
climbing	wh_main_spell_bound_fireball
manning_equipment	wh_main_spell_bound_fireball
climbing	wh_main_spell_bound_piercing_bolts_of_burning
climbing	wh_main_spell_bound_soulfire
climbing	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
climbing	wh_main_spell_death_the_purple_sun_of_xereus
climbing	wh_main_spell_fire_fireball_upgraded
manning_equipment	wh_main_spell_fire_fireball_upgraded
climbing	wh_main_spell_fire_fireball
manning_equipment	wh_main_spell_fire_fireball
climbing	wh_main_spell_fire_flame_storm_upgraded
climbing	wh_main_spell_fire_flame_storm
climbing	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
climbing	wh_main_spell_fire_piercing_bolts_of_burning
climbing	wh_main_spell_fire_the_burning_head_upgraded
climbing	wh_main_spell_fire_the_burning_head
climbing	wh_main_spell_heavens_chain_lightning
climbing	wh_main_spell_heavens_comet_of_casandora_upgraded
climbing	wh_main_spell_heavens_comet_of_casandora
climbing	wh_main_spell_heavens_urannons_thunderbolt_upgraded
climbing	wh_main_spell_heavens_urannons_thunderbolt
climbing	wh_main_spell_heavens_wind_blast_upgraded
climbing	wh_main_spell_heavens_wind_blast
climbing	wh_main_spell_light_banishment_upgraded
climbing	wh_main_spell_light_banishment
climbing	wh_main_spell_light_shems_burning_gaze_bound
manning_equipment	wh_main_spell_light_shems_burning_gaze_bound
climbing	wh_main_spell_light_shems_burning_gaze_upgraded
manning_equipment	wh_main_spell_light_shems_burning_gaze_upgraded
climbing	wh_main_spell_light_shems_burning_gaze
manning_equipment	wh_main_spell_light_shems_burning_gaze
climbing	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded
climbing	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
climbing	wh_main_spell_lil_waaagh_night_shroud_upgraded
climbing	wh_main_spell_lil_waaagh_night_shroud
climbing	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
manning_equipment	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
climbing	wh_main_spell_lil_waaagh_vindictive_glare
manning_equipment	wh_main_spell_lil_waaagh_vindictive_glare
climbing	wh_main_spell_metal_gehennas_golden_hounds_upgraded
climbing	wh_main_spell_metal_gehennas_golden_hounds
climbing	wh_main_spell_metal_searing_doom_upgraded
climbing	wh_main_spell_metal_searing_doom
climbing	wh_main_spell_vampires_gaze_of_nagash_upgraded
manning_equipment	wh_main_spell_vampires_gaze_of_nagash_upgraded
climbing	wh_main_spell_vampires_gaze_of_nagash
manning_equipment	wh_main_spell_vampires_gaze_of_nagash
morale_is_broken_or_lower	wh_main_spell_vampires_invocation_of_nehek_upgraded
morale_is_broken_or_lower	wh_main_spell_vampires_invocation_of_nehek
climbing	wh_main_spell_vampires_raise_dead_upgraded
climbing	wh_main_spell_vampires_raise_dead
climbing	wh_main_spell_vampires_wind_of_death_upgraded
climbing	wh_main_spell_vampires_wind_of_death
cannot_perform_missile_attack	wh_main_unit_abilities_blooood
cannot_perform_missile_attack	wh_main_unit_abilities_boom
climbing	wh_main_unit_abilities_gyrobomber_bomb
grounded	wh_main_unit_abilities_gyrobomber_bomb
phase_is_deployment	wh_main_unit_abilities_gyrobomber_bomb
climbing	wh_main_unit_abilities_gyrocopter_bomb
grounded	wh_main_unit_abilities_gyrocopter_bomb
phase_is_deployment	wh_main_unit_abilities_gyrocopter_bomb
climbing	wh_main_unit_abilities_spinning_loons
health_below_25%	wh_main_unit_abilities_spinning_loons
on_a_platform	wh_main_unit_abilities_spinning_loons
climbing	wh_main_weapon_abilities_skabscrath
climbing	wh_pro03_lord_abilities_lord_of_undeath_0
climbing	wh_pro03_lord_abilities_lord_of_undeath_1
climbing	wh_pro03_lord_abilities_lord_of_undeath_2
climbing	wh_pro03_lord_abilities_lord_of_undeath_3
climbing	wh_pro03_lord_abilities_lord_of_undeath_4
climbing	wh_pro03_lord_abilities_lord_of_undeath
