model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount	prebattle_separation_offset
wh_dlc04_cam_mnt_vmp_terrorgheist	cam_bi2_wyvern	wh_vmp_terrorgheist	0.7000	wh_main_vo_culture_Terrorgheist	false	0	false	0.0000
wh_dlc05_cam_mnt_wef_elven_steed	cam_hr1_warhorse	wh_dlc05_wef_elven_steed	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_dlc05_cam_mnt_wef_forest_dragon	cam_dr1_dragon	wh_dlc05_wef_forest_dragon_saddle	0.5500	wh_dlc05_vo_culture_Forest_Dragon	false	0	false	-4.0000
wh_dlc05_cam_mnt_wef_great_eagle	cam_bi1_eagle	wh_dlc05_wef_great_eagle_character	0.6000	wh_main_vo_culture_Eagle	false	0	false	0.0000
wh_dlc05_cam_mnt_wef_unicorn	cam_hr1_warhorse	wh_dlc05_wef_unicorn	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_dlc06_cam_mnt_dwf_anvil_of_doom	cam_th1_throne_of_power	wh_dlc06_dwf_runelord_anvil_campaign	1.0000	wh_main_vo_culture_Dwarf	false	0	false	0.0000
wh_dlc06_cam_mnt_grn_great_cave_squig	cam_rp2_great_cave_squig	wh_dlc06_grn_great_cave_squig_campaign	1.0000	wh_dlc06_vo_culture_Squig	false	0	false	0.0000
wh_dlc06_cam_mnt_grn_spleenrippa	cam_bo1_warboar	wh_dlc06_grn_warboar_spleenrippa	1.0000	wh_dlc03_vo_culture_Boar	true	0	false	0.0000
wh_dlc07_cam_mnt_brt_shadowsteed	cam_hr1_warhorse	wh_dlc07_brt_shadowsteed_campaign	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_dlc07_cam_mnt_brt_silvaron	cam_hr1_warhorse	wh_dlc07_brt_silvaron	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_dlc08_cam_mnt_nor_marauder_chariot	cam_wm_marauder_chariot	wh_campaign_nor_marauder_chariot	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_dlc08_cam_mnt_nor_norscan_warhorse	cam_hr1_warhorse	wh3_dlc20_chs_norscan_warhorse_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_dlc08_cam_mnt_nor_war_mammoth	cam_lord_hq3_mammoth	wh_dlc08_nor_war_mammoth_howdah_campaign	0.4000	vo_culture_Invalid	true	0	false	0.0000
wh_dlc12_cam_mnt_lzd_ancient_stegadon_engine_gods	cam_lord_hq1_stegadon	wh2_dlc12_lzd_stegadon_ancient_engine_gods	0.7000	wh2_main_vo_culture_Stegadon	false	67	false	0.0000
wh_dlc12_cam_mnt_lzd_ripperdactyl	cam_hero_bi3_terradon	wh2_dlc12_lzd_ripperdactyl	0.6000	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh_dlc12_cam_mnt_skv_doom_flayer	cam_lord_wm_doomflayer01	wh2_dlc12_skv_campaign_doom_flayer	1.0000	wh2_main_vo_culture_Skaven	false	0	false	0.0000
wh_dlc12_cam_mnt_skv_doom_flayer_ikit	cam_lord_wm_doomflayer01	wh2_dlc12_skv_campaign_doom_flayer_ikit	1.0000	wh2_main_vo_culture_Skaven	false	0	false	0.0000
wh_dlc12_cam_mnt_skv_doomwheel	cam_lord_wm_doomwheel01	wh2_dlc12_skv_campaign_doomwheel	0.6000	wh2_main_vo_culture_Skaven	false	0	false	0.0000
wh_dlc12_cam_mnt_skv_doomwheel_ikit	cam_lord_wm_doomwheel01	wh2_dlc12_skv_campaign_doomwheel_ikit	0.6000	wh2_main_vo_culture_Skaven	false	0	false	0.0000
wh_main_cam_cht_grn_boar_chariot	cam_bch1_grn_warboss_boar_chariot	wh_campaign_grn_orc_warboss_boar_chariot	1.0000	wh_dlc03_vo_culture_Boar	false	0	false	0.0000
wh_main_cam_mnt_brt_barded_warhorse	cam_hr1_warhorse	wh_brt_warhorses_barded_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_brt_barded_warhorse_faction_colours	cam_hr1_warhorse	wh_brt_warhorses_barded_faction_colours_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_brt_beaquis	cam_bc2b_hippogryph	wh_brt_beaquis_the_hippogryph	0.6000	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_main_cam_mnt_brt_hippogryph	cam_bc2b_hippogryph	wh_brt_hippogryphs_lord	0.6000	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_main_cam_mnt_brt_hippogryph_faction_colours	cam_bc2b_hippogryph	wh_brt_hippogryphs_lord_faction_colours	0.6000	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_main_cam_mnt_brt_pegasus	cam_hr1_pegasus	wh_brt_pegasus_campaign	1.0000	wh_main_vo_culture_Pegasus	true	0	false	0.0000
wh_main_cam_mnt_brt_royal_pegasus	cam_hr1_pegasus	wh_brt_royal_pegasus_campaign	1.0000	wh_main_vo_culture_Pegasus	true	0	false	0.0000
wh_main_cam_mnt_brt_royal_pegasus_faction_colours	cam_hr1_pegasus	wh_brt_royal_pegasus_faction_colours_campaign	1.0000	wh_main_vo_culture_Pegasus	true	0	false	0.0000
wh_main_cam_mnt_brt_warhorse	cam_hr1_warhorse	wh_brt_warhorses_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_chs_barded_chaos_steed	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_large_campaign	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_main_cam_mnt_chs_chaos_dragon	cam_dr1b_chaos_dragon	wh_chs_dragon	0.5500	wh_main_vo_culture_Dragon_Large	false	0	false	0.0000
wh_main_cam_mnt_chs_chaos_steed	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_large_campaign	1.1500	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_main_cam_mnt_chs_dorghar	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_dorghar_campaign	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh_main_cam_mnt_chs_manticore	cam_bc3_manticore	wh_chs_manticore	0.6500	wh_main_vo_culture_Manticore	false	0	false	0.0000
wh_main_cam_mnt_emp_barded_warhorse	cam_hr1_warhorse	wh_emp_warhorse_armoured_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_emp_deathclaw	cam_bc2_griffon	wh_emp_imperial_griffon_deathclaw	0.7500	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_main_cam_mnt_emp_imperial_griffon	cam_bc2_griffon	wh_emp_imperial_griffon	0.7500	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_main_cam_mnt_emp_imperial_pegasus	cam_hr1_pegasus	wh_emp_pegasus_campaign	1.0000	wh_main_vo_culture_Pegasus	false	0	false	0.0000
wh_main_cam_mnt_emp_warhorse	cam_hr1_warhorse	wh_emp_warhorse_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_grn_giant_spider	cam_sp1_giant_spider	wh_grn_giant_spider	0.7000	wh_main_vo_culture_Spider_Large	false	0	false	0.0000
wh_main_cam_mnt_grn_giant_wolf	cam_wf1_giant_wolf	wh_grn_giant_wolf	1.0000	wh_main_vo_culture_Wolf	false	0	false	0.0000
wh_main_cam_mnt_grn_giant_wolf_armoured	cam_wf1_giant_wolf	wh_grn_giant_wolf_armoured	1.0000	wh_main_vo_culture_Wolf	false	0	false	0.0000
wh_main_cam_mnt_grn_skullmuncha	cam_bi2_wyvern	wh_grn_skullmuncha	0.7000	wh_main_vo_culture_Wyvern	false	0	false	0.0000
wh_main_cam_mnt_grn_warboar	cam_bo1_warboar	wh_grn_warboar_big_uns	1.0000	wh_dlc03_vo_culture_Boar	true	0	false	0.0000
wh_main_cam_mnt_grn_warboar_armoured	cam_bo1_warboar	wh_grn_warboar_warboss	1.0000	wh_dlc03_vo_culture_Boar	true	0	false	0.0000
wh_main_cam_mnt_grn_wyvern	cam_bi2_wyvern	wh_grn_wyvern	0.7000	wh_main_vo_culture_Wyvern	false	0	false	0.0000
wh_main_cam_mnt_nor_warhorse	cam_hr1_warhorse	wh3_dlc20_chs_norscan_warhorse_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_vmp_barded_nightmare	cam_hr1_warhorse	wh_vmp_barded_nightmare_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_vmp_barded_skeletal_steed	cam_hr1_warhorse	wh_vmp_barded_skeletal_steed_campaign	1.0000	wh_main_vo_culture_Skeletal_horse	true	0	false	0.0000
wh_main_cam_mnt_vmp_hellsteed	cam_hr1_pegasus	wh_vmp_hellsteed_campaign	1.0000	wh_main_vo_culture_Pegasus	false	0	false	0.0000
wh_main_cam_mnt_vmp_nightmare	cam_hr1_warhorse	wh_vmp_nightmare_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh_main_cam_mnt_vmp_skeletal_steed	cam_hr1_warhorse	wh_vmp_skeletal_steed_campaign	1.0000	wh_main_vo_culture_Skeletal_horse	true	0	false	0.0000
wh_main_cam_mnt_vmp_zombie_dragon	cam_dr1_dragon	wh_vmp_dragon_zombie	0.5500	wh_main_vo_culture_Dragon_Large	false	0	false	-4.0000
