member	attitude
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_TorElithis_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_HE_Faction_VaulsExpedition_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Doombreeds_Followers_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_Legion_Of_Gorehath_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_KHO_The_Bloody_Harvest_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_LZD_Faction_CelestialStorm_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_HungWarband_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_Kurgan_Warband_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NOR_Faction_TheChurningGulfRaiders_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_Scaberaxs_Gluttons_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Glothal_Brood_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_NUR_Faction_The_Putrid_Swarm_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Rogue_OGR_Faction_The_Challenge_Stone_Pact_&_Positive	friendly
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_Negative	hostile
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_Rogue_SKV_Faction_GreyPointScuttlers_&_OtherFactionChaos_&_Positive	friendly
