payload_key	priority	plan_type	application_phase
wh3_dlc29_skv_magic_ritual_fail_thresshold_guards_8	1	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_magic_thanquol_add_money_1000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_10000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_1250	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_1500	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_200	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_2000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_300	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_3000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_400	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_4000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_500	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_money_5000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_100	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_1000	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_150	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_200	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_250	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_30	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_300	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_450	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_50	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_500	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_60	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_600	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_70	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_add_warpstone_80	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_1000	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_1500	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_2000	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_3000	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_3500	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_4000	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_money_500	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_warpstone_100	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_warpstone_200	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_thanquol_lose_warpstone_500	10	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_military_thanquol_add_money_2000	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_military_thanquol_add_money_4000	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_spawn_corruptor_verminlord_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_death_daemon_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_deceiver_verminlord_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_fire_daemon_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_hashut_daemon_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_metal_daemon_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_verminlord_corruptor_1	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_verminlord_deceiver_1	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_verminlord_warbringer_1	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_verminlord_warpseer_1	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_warbringer_verminlord_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_spawn_warpseer_verminlord_army_scripted	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_teleport_daemon_lord_scripted	15		drawn_in_plan
wh3_dlc29_skv_thanquol_add_alarm_1	12		drawn_in_plan
wh3_dlc29_skv_thanquol_add_alarm_2	12		drawn_in_plan
wh3_dlc29_skv_thanquol_add_alarm_3	12		drawn_in_plan
wh3_dlc29_skv_thanquol_add_alarm_4	12		drawn_in_plan
wh3_dlc29_skv_thanquol_add_alarm_5	12		drawn_in_plan
wh3_dlc29_skv_thanquol_add_elites_1	2	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_elites_2	2	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_10	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_13	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_15	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_2	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_20	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_3	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_30	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_4	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_45	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_5	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_6	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_60	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_7	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_8	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_food_9	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_guards_1	3	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_guards_2	3	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_guards_3	3	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_guards_4	3	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_guards_5	3	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_magic_1	1	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_add_trait_economic_1	25		drawn_in_plan
wh3_dlc29_skv_thanquol_add_trait_military_1	25		drawn_in_plan
wh3_dlc29_skv_thanquol_create_undercity	10	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_thanquol_lose_alarm_1	13		drawn_in_plan
wh3_dlc29_skv_thanquol_lose_elites_1	4	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_lose_elites_2	4	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_lose_food_10	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_lose_food_30	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_thanquol_lose_guards_1	5		drawn_in_plan
wh3_dlc29_skv_thanquol_lose_guards_2	5		drawn_in_plan
wh3_dlc29_skv_thanquol_lose_guards_3	5		drawn_in_plan
wh3_dlc29_skv_thanquol_lose_guards_5	5		drawn_in_plan
wh3_dlc29_skv_thanquol_lose_guards_6	5		drawn_in_plan
wh3_dlc29_skv_thanquol_pull_moon	15	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_thanquol_xp_lord_1000	6		drawn_in_plan
wh3_dlc29_skv_thanquol_xp_lord_200	6		drawn_in_plan
wh3_dlc29_skv_thanquol_xp_lord_2000	6		drawn_in_plan
wh3_dlc29_skv_thanquol_xp_lord_3000	6		drawn_in_plan
wh3_dlc29_skv_thanquol_xp_lord_400	6		drawn_in_plan
wh3_dlc29_skv_thanquol_xp_lord_5000	6		drawn_in_plan
