key	expression	display_only_active_effects	always_show_display_text
IsRegionNotVampireCoast	Region.Owner.CultureKey != "wh2_dlc11_cst_vampire_coast"	true	false
IsRegionPort	Region.IsPort == true	false	false
IsRegionProvinceCapital	Region.IsProvinceCapital == true	false	false
IsRegionSkavenblight	Region.RecordKeyIsOneOf("wh3_main_combi_region_skavenblight") == true	false	false
IsRegionTombKing	Region.Owner.CultureKey == "wh2_dlc09_tmb_tomb_kings"	true	false
IsRegionVampireCoast	Region.Owner.CultureKey == "wh2_dlc11_cst_vampire_coast"	true	false
IsRegionVampireCounts	Region.Owner.CultureKey == "wh_main_vmp_vampire_counts"	true	false
IsRegionZharrNaggrund	Region.RecordKeyIsOneOf("wh3_main_chaos_region_zharr_naggrund", "wh3_main_combi_region_zharr_naggrund") == true	false	false
IsSPChaosCampaign	CampaignModelRoot.CampaignKey == "wh3_main_chaos" && CampaignModelRoot.IsMultiplayer == false	true	false
IsTombKing	Owner.CultureKey == "wh2_dlc09_tmb_tomb_kings"	true	false
IsVampireCounts	Owner.CultureKey == "wh_main_vmp_vampire_counts"	true	false
KSLHasDevotion	Owner.ModelPooledResourceContext("wh3_main_ksl_devotion")	true	false
KSLHasSupporters	Owner.ModelPooledResourceContext("wh3_main_ksl_followers")	true	false
KhorneCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 100	false	false
KhorneCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 50	false	false
KhorneCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 75	false	false
KhorneCorruptionLessThan50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total < 50	false	false
KislevHasOrthodoxyGrowthBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_orthodoxy_magic_1_2") == true	false	false
KislevHasSettlementAdjacencyBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_orthodoxy_settlement_2_2") == true	false	false
KislevHasSettlementResearchBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_ice_court_settlement_1_2") == true	false	false
LandOfTheDeadDevastated	Region.IsEffectBundleActive("wh3_dlc29_land_of_the_dead_devastated") == true	false	true
MaxAllegianceAllChampionsRejected	Owner.IsEffectBundleActive("wh3_dlc27_bundle_nor_allegiance_ultimate_refusal")  == true	true	false
MinorCultCabalPower1_1	true	false	false
MinorCultCabalPower1_2	true	false	false
MinorCultCabalPower1_3	true	false	false
MinorCultCabalPower1_4	true	false	false
MinorCultCabalPower1_5	true	false	false
MinorCultCabalPower1_6	true	false	false
MinorCultCabalPower1_7	true	false	false
MinorCultCabalPower1_8	true	false	false
MinorCultCabalPower1_9	true	false	false
MinorCultCabalPower2	false	false	false
MinorCultCabalPower2_On	true	false	false
MinorCultCabalPower3	false	false	false
MinorCultCabalPower3_On	true	false	false
MinorCultCabalPower4	false	false	false
MinorCultCabalPower4_On	true	false	false
MinorCultCabalPower5	false	false	false
MinorCultCabalPower5_On	true	false	false
MountainClimate	Region.IsEffectBundleActive("wh3_dlc20_climate_suitable_mountain") || Region.IsEffectBundleActive("wh3_dlc20_climate_uninhabitable_mountain") || Region.IsEffectBundleActive("wh3_dlc20_climate_unsuitable_mountain")	false	false
MountainClimatePresent	Region.IsEffectBundleActive("wh3_dlc20_climate_suitable_mountain") || Region.IsEffectBundleActive("wh3_dlc20_climate_uninhabitable_mountain") || Region.IsEffectBundleActive("wh3_dlc20_climate_unsuitable_mountain")	false	false
NORCrowTier1	Owner.ModelPooledResourceContext("nor_progress_crow").Total < 5	true	false
NORCrowTier2	Owner.ModelPooledResourceContext("nor_progress_crow").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_crow").Total < 10	true	false
NORCrowTier3	Owner.ModelPooledResourceContext("nor_progress_crow").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_crow").Total < 15	true	false
NORCrowTier4	Owner.ModelPooledResourceContext("nor_progress_crow").Total >=15	true	false
NOREagleTier1	Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 5	true	false
NOREagleTier2	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 10	true	false
NOREagleTier3	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 15	true	false
NOREagleTier4	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >=15	true	false
NORHoundTier1	Owner.ModelPooledResourceContext("nor_progress_hound").Total < 5	true	false
NORHoundTier2	Owner.ModelPooledResourceContext("nor_progress_hound").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_hound").Total < 10	true	false
NORHoundTier3	Owner.ModelPooledResourceContext("nor_progress_hound").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_hound").Total < 15	true	false
NORHoundTier4	Owner.ModelPooledResourceContext("nor_progress_hound").Total >=15	true	false
NORSaylTier1	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 4	true	false
NORSaylTier2	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 4 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 10	true	false
NORSaylTier3	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 10 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 18	true	false
NORSaylTier4	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 18 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 30	true	false
NORSaylTier5	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >=30	true	false
NORSerpentTier1	Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 5	true	false
NORSerpentTier2	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 10	true	false
NORSerpentTier3	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 15	true	false
NORSerpentTier4	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >=15	true	false
NbOfGardensGreaterThan3	Owner.SettlementList.Filter(SettlementType == "wh3_dlc29_woc_glottkin_garden_of_nurgle_major" || SettlementType == "wh3_dlc29_woc_glottkin_garden_of_nurgle_minor").Size >= 3	false	false
NbOfGardensGreaterThan5	Owner.SettlementList.Filter(SettlementType == "wh3_dlc29_woc_glottkin_garden_of_nurgle_major" || SettlementType == "wh3_dlc29_woc_glottkin_garden_of_nurgle_minor").Size >= 5	false	false
NeglectedIceCourt	Owner.IsEffectBundleActive("wh3_main_ksl_ice_court_neglect") == true	false	false
NeglectedOrthodoxy	Owner.IsEffectBundleActive("wh3_main_ksl_orthodoxy_neglect") == true	false	false
NeitherNagashOrChaosDwarves	!(Region.Owner.CultureKey == "wh3_dlc23_chd_chaos_dwarfs" || Owner.RecordKeyIsOneOf("wh3_dlc29_nag_host_of_nagash") == true)	true	false
NoRegionOwnerForceInProvince	Province.IsFactionMilitaryForcePresent(Region.Owner) == false	false	true
NotDwarf	Owner.CultureKey != "wh_main_dwf_dwarfs"	false	false
NotDwarfHidden	Owner.CultureKey != "wh_main_dwf_dwarfs"	true	false
NotNeglectedIceCourt	Owner.IsEffectBundleActive("wh3_main_ksl_ice_court_neglect") == false	false	false
NotNeglectedOrthodoxy	Owner.IsEffectBundleActive("wh3_main_ksl_orthodoxy_neglect") == false	false	false
NotRegionHasPlague	Region.IsEffectBundleActive("wh3_main_plague_present_dummy") == false	false	false
NotRegionOwnerFavouredCorruptionKhorne	Region.Owner.IsInFactionSet("FavouredCorruptionKhorne") == false	true	false
NotRegionOwnerFavouredCorruptionNone	Region.Owner.IsInFactionSet("FavouredCorruptionNone") == false	true	false
NotRegionOwnerFavouredCorruptionNurgle	Region.Owner.IsInFactionSet("FavouredCorruptionNurgle") == false	true	false
NotRegionOwnerFavouredCorruptionSkaven	Region.Owner.IsInFactionSet("FavouredCorruptionSkaven") == false	true	false
NotRegionOwnerFavouredCorruptionSlaanesh	Region.Owner.IsInFactionSet("FavouredCorruptionSlaanesh") == false	true	false
NotRegionOwnerFavouredCorruptionTzeentch	Region.Owner.IsInFactionSet("FavouredCorruptionTzeentch") == false	true	false
NotRegionOwnerFavouredCorruptionUndivided	Region.Owner.IsInFactionSet("FavouredCorruptionUndivided") == false	true	false
NotRegionOwnerFavouredCorruptionVampiric	Region.Owner.IsInFactionSet("FavouredCorruptionVampiric") == false	true	false
NurgleCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_nurgle").Total >= 100	false	false
NurgleCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_nurgle").Total >= 50	false	false
NurgleCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_nurgle").Total >= 75	false	false
OwnerIsDechala	Owner.RecordKeyIsOneOf("wh3_dlc27_sla_the_tormentors") == true	true	false
OwnerIsNotBhashiva	Owner.RecordKeyIsOneOf("wh3_cp1_cth_tiger_warriors") == false	true	false
OwnerIsNotDechala	Owner.RecordKeyIsOneOf("wh3_dlc27_sla_the_tormentors") == false	true	false
PawnbrokerSoldOut	Region.IsEffectBundleActive("wh3_main_pawnbroker_sold_out_dummy")	false	false
ProvinceHas10000Corpses	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total >= 10000	false	true
ProvinceHas10000CorpsesHidden	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total >= 10000	true	false
ProvinceHas5000Corpses	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total >= 5000	false	true
ProvinceHas5000CorpsesHidden	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total >= 5000	true	false
ProvinceHasAnyCorpses	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total > 0	false	true
ProvinceHasNoCorpses	Province.FactionPersistendPooledResourceManager(Owner).PooledResourceContextForKey("wh3_dlc29_vmp_corpses").Total == 0	false	true
ProvinceIsFullyOwned	Province.IsFactionOwnerOfEntireProvince(Owner) == true	false	false
ProvinceIsFullyOwnedByRegionOwner	Province.IsFactionOwnerOfEntireProvince(Region.Owner) == true	false	false
ProvinceIsNotFullyOwned	Province.IsFactionOwnerOfEntireProvince(Owner) == false	false	false
PublicOrder100	Region.PublicOrder > 99	false	false
PublicOrderGreaterThan-25	Region.PublicOrder >= -25	false	false
PublicOrderGreaterThan-50	Region.PublicOrder >= -50	false	false
PublicOrderGreaterThan0	Region.PublicOrder >= 0	false	false
PublicOrderGreaterThan20	Region.PublicOrder >= 20	false	false
PublicOrderGreaterThan25	Region.PublicOrder >= 25	false	false
PublicOrderGreaterThan50	Region.PublicOrder >= 50	false	false
PublicOrderGreaterThan75	Region.PublicOrder >= 75	false	false
PublicOrderGreaterThan90	Region.PublicOrder >= 90	false	false
PublicOrderLessThan-40	Region.PublicOrder < -40	false	false
PublicOrderLessThan-50	Region.PublicOrder < -50	false	false
PublicOrderLessThan0	Region.PublicOrder < 0	false	false
PublicOrderLessThan25	Region.PublicOrder <= 25	false	false
PurpleHandRemoved	Region.IsEffectBundleActive("wh3_main_minor_cult_purple_hand_removed")	false	false
RegionAdjacentElvenColony	Region.IsEffectBundleActive("wh3_main_adjacent_elven_colony_dummy")	false	false
RegionDechalaNotPermanent	Region.EntitySharedStateReadBool("settlement_exploitation_permanent") == false	false	false
RegionDechalaPermanent	Region.EntitySharedStateReadBool("settlement_exploitation_permanent") == true	false	false
RegionHasAdjacentDwarfFaction	Region.IsEffectBundleActive("wh3_main_adjacent_dwarf_dummy")	false	false
RegionHasAnyTradeResource	Region.HasResource("res_dyes") || Region.HasResource("res_animals") || Region.HasResource("res_rom_furs") || Region.HasResource("res_gems") || Region.HasResource("res_gold") || Region.HasResource("res_rom_iron") || Region.HasResource("res_ivory") || Region.HasResource("res_rom_marble") || Region.HasResource("res_medicine") || Region.HasResource("res_obsidian") || Region.HasResource("res_rom_oil") || Region.HasResource("res_rom_textiles") || Region.HasResource("res_rom_lead") || Region.HasResource("res_spices") || Region.HasResource("res_rom_wine") || Region.HasResource("res_rom_timber")	false	false
RegionHasPlague	Region.IsEffectBundleActive("wh3_main_plague_present_dummy")	false	false
RegionHasResourceDyes	Region.HasResource("res_dyes") == true	true	false
RegionHasResourceExoticAnimals	Region.HasResource("res_animals") == true	true	false
RegionHasResourceFurs	Region.HasResource("res_rom_furs") == true	true	false
RegionHasResourceGems	Region.HasResource("res_gems") == true	true	false
RegionHasResourceGold	Region.HasResource("res_gold") == true	true	false
RegionHasResourceIron	Region.HasResource("res_rom_iron") == true	true	false
RegionHasResourceIvory	Region.HasResource("res_ivory") == true	true	false
RegionHasResourceMarble	Region.HasResource("res_rom_marble") == true	true	false
RegionHasResourceMedicine	Region.HasResource("res_medicine") == true	true	false
RegionHasResourceObsidian	Region.HasResource("res_obsidian") == true	true	false
RegionHasResourcePastures	Region.HasResource("res_rom_oil") == true	true	false
RegionHasResourcePottery	Region.HasResource("res_rom_textiles") == true	true	false
RegionHasResourceSalt	Region.HasResource("res_rom_lead") == true	true	false
RegionHasResourceSpices	Region.HasResource("res_spices") == true	true	false
RegionHasResourceWine	Region.HasResource("res_rom_wine") == true	true	false
RegionHasResourceWood	Region.HasResource("res_rom_timber") == true	true	false
RegionIsFactionCapital	Region.IsHomeRegion == true	false	false
RegionIsNotFactionCapitalHidden	Region.IsHomeRegion == false	true	false
RegionNotOwned	Region.Owner.RecordKey != Owner.RecordKey	false	true
RegionOwned	Region.Owner.RecordKey == Owner.RecordKey	false	true
RegionOwnedNotLairFaction	Region.Owner.RecordKey == Owner.RecordKey && Owner.RecordKey != "wh3_main_vmp_vampire_lairs"	false	true
RegionOwnerDarkElves	Region.Owner.SubcultureIsOneOf("wh2_main_sc_def_dark_elves") == true	true	false
RegionOwnerFavouredCorruptionKhorne	Region.Owner.IsInFactionSet("FavouredCorruptionKhorne") == true	true	false
RegionOwnerFavouredCorruptionNone	Region.Owner.IsInFactionSet("FavouredCorruptionNone") == true	true	false
RegionOwnerFavouredCorruptionNurgle	Region.Owner.IsInFactionSet("FavouredCorruptionNurgle") == true	true	false
RegionOwnerFavouredCorruptionSkaven	Region.Owner.IsInFactionSet("FavouredCorruptionSkaven") == true	true	false
RegionOwnerFavouredCorruptionSlaanesh	Region.Owner.IsInFactionSet("FavouredCorruptionSlaanesh") == true	true	false
RegionOwnerFavouredCorruptionTzeentch	Region.Owner.IsInFactionSet("FavouredCorruptionTzeentch") == true	true	false
RegionOwnerFavouredCorruptionUndivided	Region.Owner.IsInFactionSet("FavouredCorruptionUndivided") == true	true	false
RegionOwnerFavouredCorruptionVampiric	Region.Owner.IsInFactionSet("FavouredCorruptionVampiric") == true	true	false
RegionOwnerNotDarkElves	Region.Owner.SubcultureIsOneOf("wh2_main_sc_def_dark_elves") == false	true	false
RegionThrallsAbove30percent	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity > 30	false	false
RegionThrallsAbove70percent	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity > 70	false	false
RegionThrallsAboveZero	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity > 0	false	false
RegionThrallsBelow0percent	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity = 0	false	false
RegionThrallsBelow30percent	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity < 30	false	false
RegionThrallsBelow70percent	Region.ModelPooledResourceContext("wh3_dlc27_sla_thralls_region").PercentageOfCapacity < 70	false	false
SaylFinalBattleCompleted	Owner.IsEffectBundleActive("wh3_dlc27_sayl_final_bundle") == true	false	false
SaylNarrativeT1	Owner.IsEffectBundleActive("wh3_dlc27_nor_sayl_narrative_t1") == true	false	false
SaylNarrativeT2	Owner.IsEffectBundleActive("wh3_dlc27_nor_sayl_narrative_t2") == true	false	false
SaylNarrativeT3	Owner.IsEffectBundleActive("wh3_dlc27_nor_sayl_narrative_t3") == true	false	false
SaylNarrativeT4	Owner.IsEffectBundleActive("wh3_dlc27_nor_sayl_narrative_t4") == true	false	false
SaylTreacheryDeclareWar	true	false	false
SaylTreacheryDeclareWarAfter	true	false	false
SeaRegionJungleCoasts	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_sea_regions_jungle_coasts")	false	false
SeaRegionNaggarondSeas	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_sea_regions_naggarond_seas")	false	false
SeaRegionNorthernSeas	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_sea_regions_northern_seas")	false	false
SeaRegionOpenSea	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_sea_regions_open_sea")	false	false
SeaRegionRiver	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_all_rivers")	false	false
SeaRegionUlthuanEasternIsles	Army.SeaRegion.BelongsToRegionGroup("wh3_main_combi_sea_regions_ulthuan_eastern_isles")	false	false
SkarsnikShortVictoryAchieved	Owner.IsEffectBundleActive("wh3_dlc29_ie_victory_conditions_grn_new_home")	true	true
SkavenCorruption0Dummy	Region.Province.PooledResourceContextForKey("wh3_main_corruption_skaven").Total == 0	false	false
SkavenCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_skaven").Total >= 100	false	false
SkavenCorruption100Dummy	Region.Province.PooledResourceContextForKey("wh3_main_corruption_skaven").Total >= 100	false	false
SkavenCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_skaven").Total >= 50	false	false
SkavenCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_skaven").Total >= 75	false	false
SlaaneshCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_slaanesh").Total >= 100	false	false
SlaaneshCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_slaanesh").Total >= 50	false	false
SlaaneshCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_slaanesh").Total >= 75	false	false
SlaaneshCorruptionLessThan100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_slaanesh").Total < 100	false	false
StanceIsDragonshipExpansion	Army.CurrentStanceKey == "MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL"	false	false
ThroggBuildingsHasStopTrollkindResourceBonusValue	Owner.IsEffectBundleActive("wh3_dlc27_bundle_nor_throgg_trollkind_troll_call_dummy") == false	false	false
TransportCorpseLoss1	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 0	true	true
TransportCorpseLoss2	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 5	true	true
TransportCorpseLoss3	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 10	true	true
TransportCorpseLoss4	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 15	true	true
TransportCorpseLoss5	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 20	true	true
TransportCorpseLoss6	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 25	true	true
TransportCorpseLoss7	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 30	true	true
TransportCorpseLoss8	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total == 35	true	true
TransportCorpseLoss9	Owner.ModelPooledResourceContext("wh3_dlc29_vmp_corpse_transport").Total >= 40	true	true
TreasuryGreaterThan5000	Owner.Treasury >5000	false	false
TreasuryLessThan2000	Owner.Treasury < 2000	false	false
TreasuryMoreThan2000	Owner.Treasury >= 2000	false	false
TzeentchCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_tzeentch").Total >= 100	false	false
TzeentchCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_tzeentch").Total >= 50	false	false
TzeentchCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_tzeentch").Total >= 75	false	false
TzeentchCorruptionLessThan50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_tzeentch").Total < 50	false	false
UndeadWastelandClimate	Region.IsEffectBundleActive("wh3_dlc20_climate_suitable_vampiric") || Region.IsEffectBundleActive("wh3_dlc29_climate_suitable_vampiric") || Region.IsEffectBundleActive("wh3_dlc20_climate_uninhabitable_vampiric")	false	true
UnitRecruitedProvinceDummy	true	false	false
VampireLair0	true	false	true
VampireLair1	true	false	true
VampiricCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_vampiric").Total >= 100	false	false
VampiricCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_vampiric").Total >= 50	false	false
VampiricCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_vampiric").Total >= 75	false	false
VampiricCorruptionLessThan50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_vampiric").Total < 50	false	false
VermintideIncomeSteal1	Region.EntitySharedStateReadFloat("endgame_skv_steal") <= 1 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal10	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 10 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal11	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 11 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal12	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 12 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal13	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 13 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal14	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 14 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal15	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 15 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal16	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 16 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal17	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 17 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal18	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 18 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal19	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 19 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal2	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 2 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal20	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 20 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal3	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 3 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal4	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 4 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal5	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 5 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal6	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 6 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal7	Region.EntitySharedStateReadFloat("endgame_skv_steal")== 7 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal8	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 8 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideIncomeSteal9	Region.EntitySharedStateReadFloat("endgame_skv_steal") == 9 && Region.Owner.RecordKey != "wh3_dlc29_vermintide_confederation_owner"	true	true
VermintideOwned	Region.Owner.RecordKey == "wh3_dlc29_vermintide_confederation_owner"	true	true
VmpEdictNagash	Province.FactionProvinceManager(Owner).IsEffectBundleActive("wh_main_edict_vmp_evocation_of_nagash") == false	false	true
VmpGarrisonTech	Owner.IsTechnologyResearched("wh3_main_tech_vmp_vampires_main_3")	false	false
WallEffect	Region.IsOriginatingSubcultureOneOf("wh_dlc05_sc_wef_wood_elves","wh3_main_sc_ogr_ogre_kingdoms","wh_dlc08_sc_nor_norsca") == false	false	false
WoMGreaterThan3	Region.WindsOfMagicStrengthLevel >= 3	false	false
WoMGreaterThan4	Region.WindsOfMagicStrengthLevel >= 4	false	false
armies_sy_initiative_alchemists	Owner.InitiativeManagerContext.InitiativeSetContext("wh3_cp1_cth_initiative_set_aosy_military_buildings").InitiativeContext("wh3_cp1_feature_initiatives_cth_buildings_machines").IsActive	false	true
armies_sy_initiative_celestial_forge	Owner.InitiativeManagerContext.InitiativeSetContext("wh3_cp1_cth_initiative_set_aosy_military_buildings").InitiativeContext("wh3_cp1_feature_initiatives_cth_buildings_celestial").IsActive	false	true
armies_sy_initiative_gunpowder	Owner.InitiativeManagerContext.InitiativeSetContext("wh3_cp1_cth_initiative_set_aosy_military_buildings").InitiativeContext("wh3_cp1_feature_initiatives_cth_buildings_gun").IsActive	false	true
armies_sy_initiative_jade_armoury	Owner.InitiativeManagerContext.InitiativeSetContext("wh3_cp1_cth_initiative_set_aosy_military_buildings").InitiativeContext("wh3_cp1_feature_initiatives_cth_buildings_jade").IsActive	false	true
isGardenOfNurgle	Region.Settlement.SettlementType == "wh3_dlc29_glottkin_garden_of_nurgle"	true	false
karak_eight_peaks_occupied_by_belegar_short_victory	Owner.RecordKeyIsOneOf("wh_main_dwf_karak_izor") && Owner.IsEffectBundleActive("wh3_dlc29_bundle_ie_victory_objective_dwf_rightful_home") == true	true	true
karak_eight_peaks_occupied_by_queek_short_victory	Owner.RecordKeyIsOneOf("wh2_main_skv_clan_mors") && Owner.IsEffectBundleActive("wh3_dlc29_bundle_ie_victory_objective_skv_queek_new_empire_dummy") == true	true	true
tiger_court_bhashiva_passive_1	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total >= 1 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total <= 8	false	false
tiger_court_bhashiva_passive_3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total >= 17 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total <= 24	false	false
tiger_court_bhashiva_passive_4	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total >= 25 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total <= 32	false	false
tiger_court_bhashiva_passive_5	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total >= 33 && Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total <= 40	false	false
tiger_court_bhashiva_passive_from_t3	Owner.ModelPooledResourceContext("wh3_cp1_cth_court_bhashiva").Total >= 17	false	false
