upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
wh3_dlc23_chd_skullcracker_1magma_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1magmacannon	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1magmacannon	wh3_dlc23_chd_skullcracker_1magma_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_skullcracker_2dreadquake	wh3_dlc23_chd_veh_skullcracker_2dreadquake_1deathshrieker	wh3_dlc23_chd_skullcracker_2dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_skullcracker_2dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_2dreadquake	wh3_dlc23_chd_veh_skullcracker_3dreadquake	wh3_dlc23_chd_skullcracker_2dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_2dreadquake_add_1magma	wh3_dlc23_chd_veh_skullcracker_2dreadquake	wh3_dlc23_chd_veh_skullcracker_2dreadquake_1magmacannon	wh3_dlc23_chd_skullcracker_2dreadquake_add_1magma	0	0
wh3_dlc23_chd_skullcracker_add_1deathshrieker	wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_veh_skullcracker_1deathshrieker	wh3_dlc23_chd_skullcracker_add_1deathshrieker	0	0
wh3_dlc23_chd_skullcracker_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_skullcracker_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_add_1magma	wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_veh_skullcracker_1magmacannon	wh3_dlc23_chd_skullcracker_add_1magma	0	0
wh3_dlc25_chs_knights_nur_to_rot_knights	wh3_dlc20_chs_knights_nur	wh3_dlc25_nur_cav_rot_knights	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_dlc25_chs_knights_und_to_rot_knights	wh3_dlc20_chs_knights_und	wh3_dlc25_nur_cav_rot_knights	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_main_chs_bloodletters_to_exalted	wh3_main_chs_bloodletters	wh3_main_chs_bloodletters_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_bloodletters_to_exalted_valkia	wh3_main_chs_bloodletters	wh3_main_chs_bloodletters_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_daemonette_to_exalted	wh3_main_chs_daemonette	wh3_main_chs_daemonette_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_daemonette_to_exalted_azazel	wh3_main_chs_daemonette	wh3_main_chs_daemonette_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_pink_horrors_to_exalted	wh3_main_chs_pink_horrors	wh3_main_chs_pink_horrors_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_pink_horrors_to_exalted_vilitch	wh3_main_chs_pink_horrors	wh3_main_chs_pink_horrors_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_plaguebearers_to_exalted	wh3_main_chs_plaguebearers	wh3_main_chs_plaguebearers_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_main_chs_plaguebearers_to_exalted_festus	wh3_main_chs_plaguebearers	wh3_main_chs_plaguebearers_exalted	wh3_dlc20_chs_upgrade_cost_t2	4	4
