deal_component	personality_component	best_friends_value	bitter_enemies_value	friendly_value	neutral_value	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	opponent_treachery_modifier	opponent_respect_modifier	main_threat	have_common_threat	long_distance_penalty_min	long_distance_penalty_max	main_threat_ally	diplomatic_score_bound_lower	diplomatic_score_bound_upper	same_subculture_modifier	war_losses_multiplier	war_losses_value_cap	existing_treaties_multiplier	recent_ultimatum_penalty_modifier	recent_ultimatum_penalty_max_turns	vassal_master_strength_multiplier	region_hint_base_value	region_hint_value_limit	region_hint_ignore_same_subculture	region_hint_delta
WAR	wh3_deal_eval_conclave_of_sorcerers	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	-50.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.0000	10	1.0000	0	0	false	0
BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_darkelf	-75.0000	25.0000	-15.0000	7.0000	25.0000	35.0000	15.0000	-45.0000	20.0000	15.0000	15.0000	10.0000	-1.0000	1.0000	1.0000	15.0000	-12.0000	0.0000	7.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
BREAK_MILITARY_ALLIANCE	wh3_deal_eval_darkelf	-75.0000	25.0000	-15.0000	7.0000	25.0000	35.0000	15.0000	-45.0000	20.0000	15.0000	15.0000	10.0000	-1.0000	1.0000	1.0000	15.0000	-12.0000	0.0000	7.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_darkelf	-50.0000	19.0000	-10.0000	0.0000	9.0000	12.0000	5.0000	-25.0000	15.0000	7.0000	5.0000	4.0000	-1.0000	1.0000	1.0000	15.0000	-10.0000	0.0000	0.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_CLIENT_STATE	wh3_deal_eval_darkelf	-75.0000	20.0000	-35.0000	-20.0000	25.0000	30.0000	0.0000	-45.0000	2.0000	15.0000	15.0000	15.0000	-1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_MILITARY_ACCESS	wh3_deal_eval_darkelf	-50.0000	15.0000	-25.0000	-8.0000	8.0000	10.0000	0.0000	-30.0000	10.0000	6.0000	5.0000	4.0000	-1.0000	1.0000	1.0000	15.0000	-10.0000	0.0000	0.0000	10.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_TRADE_AGREEMENT	wh3_deal_eval_darkelf	-40.0000	25.0000	-20.0000	-5.0000	8.0000	10.0000	9.0000	-30.0000	20.0000	6.0000	5.0000	4.0000	-1.0000	1.0000	1.0000	15.0000	0.0000	0.0000	0.0000	10.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_VASSALAGE	wh3_deal_eval_darkelf	-200.0000	-200.0000	-200.0000	-200.0000	25.0000	30.0000	-200.0000	-200.0000	-200.0000	15.0000	15.0000	15.0000	-1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
DEFENSIVE_ALLIANCE	wh3_deal_eval_darkelf	-11.0000	-300.0000	-23.0000	-35.0000	25.0000	25.0000	-45.0000	-15.0000	-60.0000	25.0000	20.0000	20.0000	0.3000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ACCESS	wh3_deal_eval_darkelf	-10.0000	-300.0000	-19.0000	-30.0000	25.0000	25.0000	-40.0000	-14.0000	-60.0000	25.0000	15.0000	15.0000	1.0000	1.0000	1.0000	-4.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ALLIANCE	wh3_deal_eval_darkelf	-22.0000	-500.0000	-36.0000	-58.0000	32.0000	35.0000	-65.0000	-27.0000	-200.0000	23.0000	23.0000	23.0000	1.0000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
NON_AGGRESSION_PACT	wh3_deal_eval_darkelf	-2.0000	-40.0000	-3.0000	-5.0000	10.0000	12.0000	-7.0000	-2.0000	-14.0000	8.0000	8.0000	8.0000	0.2500	1.0000	1.0000	-2.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_DIPLOMATIC_MARRIAGE	wh3_deal_eval_darkelf	-3.0000	-40.0000	-5.0000	-10.0000	4.0000	5.0000	-15.0000	-5.0000	-25.0000	3.0000	3.0000	2.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_GIFT	wh3_deal_eval_darkelf	3.0000	-50.0000	1.0000	-7.0000	1.0000	1.0000	-10.0000	2.0000	-20.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_JOIN_WAR	wh3_deal_eval_darkelf	-45.0000	-2.0000	-25.0000	-19.0000	-30.0000	-35.0000	-14.0000	-30.0000	-9.0000	-14.0000	15.0000	65.0000	0.5000	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_VASSALAGE	wh3_deal_eval_darkelf	-75.0000	-55.0000	-65.0000	-65.0000	45.0000	50.0000	-65.0000	-70.0000	-60.0000	40.0000	35.0000	35.0000	0.0000	1.0000	1.0000	-12.0000	8.0000	0.0000	-10.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
PEACE	wh3_deal_eval_darkelf	-5.0000	-28.0000	-9.0000	-13.0000	50.0000	50.0000	-19.0000	-7.0000	-23.0000	33.0000	20.0000	15.0000	2.0000	1.0000	1.0000	-6.0000	12.0000	0.0000	7.0000	0.0000	-5.0000	5.0000	0.0000	0.0004	15.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CLIENT_STATE	wh3_deal_eval_darkelf	-10.0000	-10.0000	-10.0000	-10.0000	40.0000	50.0000	-10.0000	-10.0000	-10.0000	30.0000	20.0000	10.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_DECLARE_WAR	wh3_deal_eval_darkelf	-3.0000	2.0000	-1.0000	0.0000	10.0000	10.0000	0.0000	-2.0000	1.0000	8.0000	6.0000	5.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_DIPLOMATIC_MARRIAGE	wh3_deal_eval_darkelf	-1.0000	-40.0000	-2.0000	-6.0000	5.0000	5.0000	-15.0000	-2.0000	-25.0000	5.0000	5.0000	5.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_JOIN_WAR	wh3_deal_eval_darkelf	-5.0000	-2.0000	-5.0000	-5.0000	8.0000	10.0000	-4.0000	-5.0000	-2.0000	7.0000	6.0000	5.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_VASSALAGE	wh3_deal_eval_darkelf	-10.0000	-10.0000	-10.0000	-10.0000	40.0000	50.0000	-10.0000	-10.0000	-10.0000	30.0000	20.0000	10.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
STRATEGIC_BALANCE_CHANGE	wh3_deal_eval_darkelf	0.0000	0.0000	0.0000	0.0000	70.0000	90.0000	0.0000	0.0000	0.0000	55.0000	40.0000	35.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
TRADE_AGREEMENT	wh3_deal_eval_darkelf	-3.0000	-70.0000	-6.0000	-11.0000	9.0000	9.0000	-25.0000	-4.0000	-55.0000	9.0000	10.0000	10.0000	1.0000	1.0000	1.0000	-3.0000	2.0000	0.0000	-2.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_DECLARE_WAR	wh3_deal_eval_darkelf_major	-35.0000	5.0000	-17.0000	-10.0000	-30.0000	-35.0000	-5.0000	-23.0000	0.0000	10.0000	20.0000	65.0000	0.5000	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	30.0000	10	1.0000	0	0	false	0
OFFER_JOIN_WAR	wh3_deal_eval_darkelf_major	-35.0000	5.0000	-17.0000	-10.0000	-30.0000	-35.0000	-5.0000	-23.0000	0.0000	10.0000	20.0000	65.0000	0.5000	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	30.0000	10	1.0000	0	0	false	0
PEACE	wh3_deal_eval_darkelf_major	-5.0000	-40.0000	-9.0000	-16.0000	40.0000	50.0000	-25.0000	-7.0000	-35.0000	17.0000	10.0000	5.0000	2.0000	1.0000	1.0000	-6.0000	12.0000	0.0000	7.0000	0.0000	-5.0000	5.0000	0.0000	0.0004	15.0000	0.0000	0.0000	0	1.0000	0	0	false	0
STRATEGIC_BALANCE_CHANGE	wh3_deal_eval_darkelf_major	0.0000	0.0000	0.0000	0.0000	50.0000	60.0000	0.0000	0.0000	0.0000	35.0000	30.0000	20.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
WAR	wh3_deal_eval_darkelf_major	-100.0000	10.0000	-10.0000	-2.0000	-30.0000	-35.0000	0.0000	-20.0000	5.0000	0.0000	12.0000	25.0000	-0.1500	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	-5.0000	0.0000	0.0000	3.0000	30.0000	10	1.0000	-10	0	false	2
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_darkelf_minor	-30.0000	-135.0000	-100.0000	-105.0000	48.0000	51.0000	-135.0000	-50.0000	-135.0000	45.0000	40.0000	35.0000	0.0000	1.0000	1.0000	0.0000	8.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	-5	5	false	1
WAR	wh3_deal_eval_darkelf_minor	-100.0000	10.0000	-6.0000	-1.0000	-30.0000	-35.0000	2.0000	-20.0000	5.0000	-10.0000	10.0000	35.0000	-0.1500	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	-5.0000	0.0000	0.0000	3.0000	30.0000	10	1.0000	-10	0	false	2
DEFENSIVE_ALLIANCE	wh3_deal_eval_darkelf_unfriendly	-18.0000	-300.0000	-29.0000	-40.0000	25.0000	25.0000	-50.0000	-22.0000	-60.0000	25.0000	20.0000	20.0000	0.3000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ACCESS	wh3_deal_eval_darkelf_unfriendly	-14.0000	-300.0000	-23.0000	-34.0000	25.0000	25.0000	-40.0000	-18.0000	-60.0000	25.0000	15.0000	15.0000	1.0000	1.0000	1.0000	-4.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ALLIANCE	wh3_deal_eval_darkelf_unfriendly	-28.0000	-500.0000	-42.0000	-58.0000	32.0000	35.0000	-65.0000	-33.0000	-200.0000	23.0000	23.0000	23.0000	1.0000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
NON_AGGRESSION_PACT	wh3_deal_eval_darkelf_unfriendly	-4.0000	-40.0000	-5.0000	-6.0000	8.0000	8.0000	-10.0000	-4.0000	-14.0000	8.0000	8.0000	8.0000	0.2500	1.0000	1.0000	-2.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
TRADE_AGREEMENT	wh3_deal_eval_darkelf_unfriendly	-5.0000	-70.0000	-8.0000	-13.0000	9.0000	9.0000	-25.0000	-6.0000	-55.0000	9.0000	10.0000	10.0000	1.0000	1.0000	1.0000	-3.0000	2.0000	0.0000	-2.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_default	-26.0000	20.0000	-16.0000	0.0000	10.0000	10.0000	4.0000	-21.0000	10.0000	15.0000	20.0000	25.0000	-0.1000	1.0000	1.0000	15.0000	-12.0000	0.0000	7.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
BREAK_MILITARY_ALLIANCE	wh3_deal_eval_default	-24.0000	20.0000	-15.0000	0.0000	15.0000	15.0000	4.0000	-20.0000	10.0000	15.0000	15.0000	15.0000	-0.1000	1.0000	1.0000	15.0000	-12.0000	0.0000	7.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_default	-31.0000	1.0000	-14.0000	-10.0000	6.0000	6.0000	-6.0000	-18.0000	0.0000	6.0000	12.0000	15.0000	-0.2000	1.0000	1.0000	15.0000	-10.0000	0.0000	0.0000	15.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_CLIENT_STATE	wh3_deal_eval_default	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_MILITARY_ACCESS	wh3_deal_eval_default	-27.0000	1.0000	-14.0000	-10.0000	10.0000	10.0000	-6.0000	-18.0000	-2.0000	10.0000	15.0000	15.0000	-0.2000	1.0000	1.0000	15.0000	-10.0000	0.0000	0.0000	10.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_TRADE_AGREEMENT	wh3_deal_eval_default	-30.0000	1.0000	-14.0000	-10.0000	8.0000	8.0000	-6.0000	-18.0000	-2.0000	8.0000	12.0000	12.0000	0.0000	1.0000	1.0000	15.0000	0.0000	0.0000	0.0000	10.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
CANCEL_VASSALAGE	wh3_deal_eval_default	-20.0000	-30.0000	-20.0000	-25.0000	30.0000	30.0000	-25.0000	-20.0000	-30.0000	20.0000	20.0000	20.0000	0.3000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
DEFENSIVE_ALLIANCE	wh3_deal_eval_default	-3.0000	-100.0000	-25.0000	-27.0000	18.0000	18.0000	-34.0000	-12.0000	-50.0000	16.0000	16.0000	14.0000	0.3000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ACCESS	wh3_deal_eval_default	0.0000	-100.0000	-3.0000	-7.0000	8.0000	8.0000	-15.0000	-1.0000	-20.0000	4.0000	4.0000	4.0000	0.2000	1.0000	1.0000	-4.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
MILITARY_ALLIANCE	wh3_deal_eval_default	-4.0000	-100.0000	-45.0000	-70.0000	18.0000	18.0000	-100.0000	-19.0000	-100.0000	16.0000	16.0000	14.0000	0.5000	1.0000	1.0000	-15.0000	6.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
NON_AGGRESSION_PACT	wh3_deal_eval_default	2.0000	-100.0000	-1.0000	-4.0000	7.0000	7.0000	-10.0000	1.0000	-15.0000	4.0000	4.0000	4.0000	0.1000	1.0000	1.0000	-2.0000	5.0000	0.0000	-6.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_default	-75.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-45.0000	20.0000	15.0000	15.0000	15.0000	2.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_BREAK_MILITARY_ALLIANCE	wh3_deal_eval_default	-100.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-60.0000	20.0000	15.0000	15.0000	15.0000	2.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_default	-50.0000	19.0000	-10.0000	0.0000	5.0000	5.0000	10.0000	-25.0000	15.0000	5.0000	5.0000	5.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_CANCEL_CLIENT_STATE	wh3_deal_eval_default	-75.0000	20.0000	-35.0000	-20.0000	20.0000	20.0000	0.0000	-45.0000	2.0000	15.0000	15.0000	15.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_CANCEL_MILITARY_ACCESS	wh3_deal_eval_default	-50.0000	15.0000	-25.0000	-20.0000	5.0000	5.0000	-5.0000	-30.0000	10.0000	5.0000	5.0000	5.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_CANCEL_TRADE_AGREEMENT	wh3_deal_eval_default	-40.0000	25.0000	-20.0000	-5.0000	5.0000	5.0000	12.0000	-30.0000	20.0000	5.0000	5.0000	5.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_CANCEL_VASSALAGE	wh3_deal_eval_default	-100.0000	15.0000	-40.0000	-25.0000	20.0000	20.0000	-20.0000	-60.0000	0.0000	15.0000	15.0000	15.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_CLIENT_STATE	wh3_deal_eval_default	-100.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_DECLARE_WAR	wh3_deal_eval_default	-100.0000	9.0000	-6.0000	0.0000	-30.0000	-35.0000	4.0000	-20.0000	6.0000	-20.0000	10.0000	15.0000	0.5000	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	30.0000	10	1.0000	0	0	false	0
OFFER_DIPLOMATIC_MARRIAGE	wh3_deal_eval_default	-100.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_GIFT	wh3_deal_eval_default	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_default	-32.0000	-160.0000	-100.0000	-120.0000	36.0000	38.0000	-160.0000	-70.0000	-160.0000	34.0000	30.0000	10.0000	0.0000	1.0000	1.0000	0.0000	5.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	-5	5	false	1
OFFER_JOIN_WAR	wh3_deal_eval_default	-100.0000	9.0000	-6.0000	0.0000	-30.0000	-35.0000	4.0000	-20.0000	6.0000	-20.0000	10.0000	15.0000	0.5000	1.0000	1.0000	8.0000	-12.0000	-3.0000	-20.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	30.0000	10	1.0000	0	0	false	0
OFFER_REGION	wh3_deal_eval_default	4.0000	-10.0000	0.0000	0.0000	2.0000	10.0000	-10.0000	2.0000	-10.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
OFFER_VASSALAGE	wh3_deal_eval_default	-40.0000	-200.0000	-80.0000	-85.0000	60.0000	62.0000	-85.0000	-60.0000	-150.0000	60.0000	55.0000	55.0000	0.7500	1.0000	1.0000	-12.0000	8.0000	0.0000	-10.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
PEACE	wh3_deal_eval_default	-5.0000	-40.0000	-9.0000	-16.0000	40.0000	50.0000	-25.0000	-7.0000	-35.0000	25.0000	20.0000	15.0000	0.4000	1.0000	1.0000	-6.0000	12.0000	0.0000	7.0000	0.0000	-5.0000	5.0000	0.0000	0.0004	15.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_BREAK_DEFENSIVE_ALLIANCE	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_BREAK_MILITARY_ALLIANCE	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_BREAK_NON_AGGRESSION_PACT	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	65.0000	75.0000	1.0000	-6.0000	2.0000	40.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CANCEL_CLIENT_STATE	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CANCEL_MILITARY_ACCESS	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CANCEL_TRADE_AGREEMENT	wh3_deal_eval_default	-12.0000	4.0000	-3.0000	0.0000	8.0000	10.0000	1.0000	-6.0000	2.0000	6.0000	5.0000	5.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CANCEL_VASSALAGE	wh3_deal_eval_default	-12.0000	8.0000	-3.0000	0.0000	40.0000	50.0000	2.0000	-6.0000	4.0000	30.0000	20.0000	10.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_CLIENT_STATE	wh3_deal_eval_default	-100.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	-100.0000	-100.0000	-100.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
REQUEST_DECLARE_WAR	wh3_deal_eval_default	-3.0000	2.0000	-1.0000	0.0000	8.0000	10.0000	0.0000	-2.0000	1.0000	6.0000	4.0000	2.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.0000	0	0	false	0
