environment	loop	type
prologue_kislev_chaos	WH3_Generic_Volcanic_Primary_Loop	main
prologue_kislev_chaos	WH3_Generic_Volcanic_Secondary_Loop	main
prologue_kislev_chaos	generic_river	river
prologue_kislev_chaos	generic_sea	sea
prologue_kislev_chaos	WH3_Generic_Cold_Wind_Loop	wind
prologue_kislev_tzeentch	WH3_Faction_Kislev_Forest_Loop	forest
prologue_kislev_tzeentch	WH3_Faction_Tzeentch_Forest_Loop	forest
prologue_kislev_tzeentch	high_elves_lake	lake
prologue_kislev_tzeentch	WH3_Faction_Kislev_Primary_Loop	main
prologue_kislev_tzeentch	WH3_Faction_Kislev_Secondary_Loop	main
prologue_kislev_tzeentch	WH3_Faction_Tzeentch_Primary_Loop	main
prologue_kislev_tzeentch	WH3_Faction_Tzeentch_Secondary_Loop	main
prologue_kislev_tzeentch	generic_river	river
prologue_kislev_tzeentch	generic_sea	sea
prologue_kislev_tzeentch	WH3_Generic_Cold_Wind_Loop	wind
skaven_cavern	skaven_cavern_forest	forest
skaven_cavern	skaven_cavern_lake	lake
skaven_cavern	skaven_cavern_primary	main
skaven_cavern	generic_river	river
skaven_cavern	generic_sea	sea
skaven_cavern	skaven_cavern_wind	wind
skaven_desert	skaven_desert_forest	forest
skaven_desert	skaven_desert_lake	lake
skaven_desert	skaven_desert_primary	main
skaven_desert	generic_river	river
skaven_desert	generic_sea	sea
skaven_desert	skaven_desert_wind	wind
skaven_marsh_forest	cave_forest	forest
skaven_marsh_forest	skaven_marsh_lake	lake
skaven_marsh_forest	skaven_marsh_primary	main
skaven_marsh_forest	generic_river	river
skaven_marsh_forest	generic_sea	sea
skaven_marsh_forest	skaven_marsh_wind	wind
skaven_marsh	skaven_marsh_forest	forest
skaven_marsh	skaven_marsh_lake	lake
skaven_marsh	skaven_marsh_primary	main
skaven_marsh	generic_river	river
skaven_marsh	generic_sea	sea
skaven_marsh	skaven_marsh_wind	wind
slaanesh	WH3_Faction_Slaanesh_Forest_Loop	forest
slaanesh	WH3_Faction_Slaanesh_Water_Lake	lake
slaanesh	WH3_Faction_Slaanesh_Primary_Loop	main
slaanesh	WH3_Faction_Slaanesh_Secondary_Loop	main
slaanesh	generic_river	river
slaaneshstorm	WH3_Faction_Slaanesh_Forest_Loop	forest
slaaneshstorm	WH3_Faction_Slaanesh_Water_Lake	lake
slaaneshstorm	WH3_Faction_Slaanesh_Storm_Flavor_Loop	main
slaaneshstorm	WH3_Faction_Slaanesh_Storm_Primary_Loop	main
slaaneshstorm	WH3_Faction_Slaanesh_Storm_Secondary_Loop	main
slaaneshstorm	generic_river	river
slaaneshstorm	WH3_Faction_Slaanesh_Wind_Loop	wind
slaanesh	WH3_Generic_Desert_Wind_Loop	wind
tomb_kings_cavern	cave_lake	lake
tomb_kings_cavern	tomb_kings_cavern_primary	main
tomb_kings_cavern	generic_river	river
tomb_kings_cavern	generic_sea	sea
tomb_kings_cavern	tomb_kings_cavern_secondary	urban
tomb_kings_cavern	cave_wind	wind
tomb_kings_desert	dark_elves_desert_lake	lake
tomb_kings_desert	tomb_kings_desert_primary	main
tomb_kings_desert	generic_river	river
tomb_kings_desert	generic_sea	sea
tomb_kings_desert	tomb_kings_desert_secondary	urban
tomb_kings_desert	skaven_desert_wind	wind
tomb_kings_qb_final_battle	dark_elves_desert_lake	lake
tomb_kings_qb_final_battle	tomb_kings_qb_final_battle_primary	main
tomb_kings_qb_final_battle	generic_river	river
tomb_kings_qb_final_battle	generic_sea	sea
tomb_kings_qb_final_battle	tomb_kings_desert_secondary	urban
tomb_kings_qb_final_battle	skaven_desert_wind	wind
tomb_kings_qb_staff_of_nagash	dark_elves_desert_lake	lake
tomb_kings_qb_staff_of_nagash	tomb_kings_qb_staff_of_nagash_primary	main
tomb_kings_qb_staff_of_nagash	generic_river	river
tomb_kings_qb_staff_of_nagash	generic_sea	sea
tomb_kings_qb_staff_of_nagash	tomb_kings_desert_secondary	urban
tomb_kings_qb_staff_of_nagash	skaven_desert_wind	wind
tzeentch	WH3_Faction_Tzeentch_Forest_Loop	forest
tzeentch	WH3_Faction_Tzeentch_Water_Lake	lake
tzeentch	WH3_Faction_Tzeentch_Primary_Loop	main
tzeentch	WH3_Faction_Tzeentch_Secondary_Loop	main
tzeentch	generic_river	river
tzeentchstorm	WH3_Faction_Tzeentch_Forest_Loop	forest
tzeentchstorm	WH3_Faction_Tzeentch_Water_Lake	lake
tzeentchstorm	WH3_Faction_Tzeentch_Storm_Flavor_Loop	main
tzeentchstorm	WH3_Faction_Tzeentch_Storm_Primary_Loop	main
tzeentchstorm	WH3_Faction_Tzeentch_Storm_Secondary_Loop	main
tzeentchstorm	generic_river	river
tzeentchstorm	WH3_Faction_Tzeentch_Wind_Loop	wind
tzeentch	WH3_Generic_Cold_Wind_Loop	wind
vampire	vampire_forest	forest
vampire	vampire_lake	lake
vampire	vampire_ambience	main
vampire	generic_river	river
vampire	generic_sea	sea
vampire	vampire_wind	wind
volcanic	WH3_Generic_Forest_Loop_Trees	forest
volcanic	volcanic_lake	lake
volcanic	WH3_Generic_Volcanic_Primary_Loop	main
volcanic	WH3_Generic_Volcanic_Secondary_Loop	main
volcanic	generic_river	river
volcanic	generic_sea	sea
volcanic	WH3_Generic_Volcanic_Wind_Loop	wind
wood_elves_autumn	wood_elves_autumn_forest	forest
wood_elves_autumn	wood_elves_autumn_lake	lake
wood_elves_autumn	wood_elves_autumn_ambience	main
wood_elves_autumn	generic_river	river
wood_elves_autumn	generic_sea	sea
wood_elves_autumn	wood_elves_autumn_wind	wind
wood_elves_generic	wood_elves_generic_forest	forest
wood_elves_generic	wood_elves_generic_lake	lake
wood_elves_generic	wood_elves_generic_ambience	main
wood_elves_generic	generic_river	river
wood_elves_generic	generic_sea	sea
wood_elves_generic	wood_elves_generic_wind	wind
wood_elves_night	wood_elves_night_forest	forest
wood_elves_night	wood_elves_night_lake	lake
wood_elves_night	wood_elves_night_ambience	main
wood_elves_night	generic_river	river
wood_elves_night	generic_sea	sea
wood_elves_night	wood_elves_night_wind	wind
wood_elves_sea_is_lake	wood_elves_generic_forest	forest
wood_elves_sea_is_lake	wood_elves_generic_lake	lake
wood_elves_sea_is_lake	wood_elves_generic_ambience	main
wood_elves_sea_is_lake	generic_river	river
wood_elves_sea_is_lake	wood_elves_generic_lake	sea
wood_elves_sea_is_lake	wood_elves_generic_wind	wind
wood_elves_winter	wood_elves_winter_forest	forest
wood_elves_winter	wood_elves_winter_lake	lake
wood_elves_winter	wood_elves_winter_ambience	main
wood_elves_winter	generic_river	river
wood_elves_winter	generic_sea	sea
wood_elves_winter	wood_elves_winter_wind	wind
