member	agent_subtype
wh3_dlc26_character_intiative_set_ogre_big_names_butcher_heavens	wh3_dlc26_ogr_cha_butcher_heavens
wh3_dlc26_character_intiative_set_ogre_big_names_firebelly	wh3_main_ogr_firebelly
wh3_dlc26_character_intiative_set_ogre_big_names_slaughtermaster_beasts	wh3_main_ogr_slaughtermaster_beasts
wh3_dlc26_character_intiative_set_ogre_big_names_slaughtermaster_death	wh3_dlc26_ogr_cha_slaughtermaster_death
wh3_dlc26_character_intiative_set_ogre_big_names_slaughtermaster_great_maw	wh3_main_ogr_slaughtermaster_great_maw
wh3_dlc26_character_intiative_set_ogre_big_names_slaughtermaster_heavens	wh3_dlc26_ogr_cha_slaughtermaster_heavens
wh3_dlc26_khorne_summoned_army_bloodthirster	wh3_dlc26_kho_exalted_bloodthirster_khorne_spawned_army
wh3_dlc27_character_bound_horde_aislinn	wh3_dlc27_hef_aislinn
wh3_dlc27_character_bound_horde_dragonship_captain_1	wh3_dlc27_hef_dragonship_captain_01
wh3_dlc27_character_bound_horde_dragonship_captain_2	wh3_dlc27_hef_dragonship_captain_02
wh3_dlc27_character_bound_horde_dragonship_captain_3	wh3_dlc27_hef_dragonship_captain_03
wh3_dlc27_character_bound_horde_dragonship_captain_4	wh3_dlc27_hef_dragonship_captain_04
wh3_dlc27_character_bound_horde_dragonship_captain_5	wh3_dlc27_hef_dragonship_captain_05
wh3_dlc27_character_initiative_set_boons_exalted_hero_slaanesh	wh3_dlc27_chs_exalted_hero_msla
wh3_dlc27_character_initiative_set_boons_slaanesh_chs_sorcerer_lord_shadows_msla	wh3_dlc27_chs_sorcerer_lord_shadows_msla
wh3_dlc27_character_initiative_set_boons_slaanesh_chs_sorcerer_lord_slaanesh_msla	wh3_dlc27_chs_sorcerer_lord_slaanesh_msla
wh3_dlc27_character_initiative_set_exalted_hero_msla_upgrades_warriors	wh3_dlc27_chs_exalted_hero_msla
wh3_dlc27_character_initiative_set_sorcerer_lord_msla_upgrades_shadows	wh3_dlc27_chs_sorcerer_lord_shadows_msla
wh3_dlc27_character_initiative_set_sorcerer_lord_msla_upgrades_slaanesh	wh3_dlc27_chs_sorcerer_lord_slaanesh_msla
wh3_dlc27_def_agent_lokhir	wh2_dlc11_def_lokhir
wh3_dlc27_hef_militia_force	wh3_dlc27_noble_militia
wh3_dlc27_norsca_agent_wulfrik	wh_dlc08_nor_wulfrik
wh3_dlc27_norsca_summoned_army	wh3_dlc27_nor_marauder_chieftain_spawned_army
wh3_dlc27_sla_dechala	wh3_dlc27_sla_dechala
wh3_dlc27_sla_masque_of_slaanesh_member	wh3_dlc27_sla_masque_of_slaanesh
wh3_main_agent_action_establish_cult_kho	wh3_main_kho_cultist
wh3_main_agent_action_establish_cult_magus_kho	wh3_main_kho_cult_magus
wh3_main_agent_action_establish_cult_magus_nur	wh3_main_nur_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_exquisite_pain	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_keepers_of_bliss	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_masque_of_slaanesh	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_rapturous_excess	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_seducers_of_slaanesh	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_sla_subtle_torture	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh_invasion	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh_rebels	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_the_tormentors	wh3_main_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_tze	wh3_main_tze_cult_magus
wh3_main_agent_action_establish_cult_nur	wh3_main_nur_cultist
wh3_main_agent_action_establish_cult_sla_exquisite_pain	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_keepers_of_bliss	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_masque_of_slaanesh	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_rapturous_excess	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_seducers_of_slaanesh	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_sla_subtle_torture	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_slaanesh	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_slaanesh_invasion	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_slaanesh_rebels	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_sla_the_tormentors	wh3_main_sla_cultist
wh3_main_agent_action_establish_cult_tze	wh3_main_tze_cultist
wh3_main_character_initiative_set_kairos_spells_common_1	wh3_main_tze_kairos
wh3_main_character_initiative_set_kairos_spells_common_2	wh3_main_tze_kairos
wh3_main_character_initiative_set_kairos_spells_rare_1	wh3_main_tze_kairos
wh3_main_character_initiative_set_kairos_spells_rare_2	wh3_main_tze_kairos
wh3_main_character_initiative_set_kairos_spells_uncommon_1	wh3_main_tze_kairos
wh3_main_character_initiative_set_kairos_spells_uncommon_2	wh3_main_tze_kairos
wh3_main_character_initiative_set_ogre_big_names_greasus	wh3_main_ogr_greasus_goldtooth
wh3_main_character_initiative_set_ogre_big_names_hunter	wh3_main_ogr_hunter
wh3_main_character_initiative_set_ogre_big_names_skrag	wh3_main_ogr_skrag_the_slaughterer
wh3_main_character_initiative_set_ogre_big_names_tyrant	wh3_main_ogr_tyrant
wh3_main_cth_caravan	wh3_main_cth_lord_caravan_master
wh3_main_khorne_summoned_army	wh3_main_kho_herald_of_khorne_khorne_spawned_army
wh3_main_ogre_camp	wh3_main_ogr_tyrant_camp
wh3_main_sla_exalted_keeper_of_secrets_shadow	wh3_main_sla_exalted_keeper_of_secrets_shadow
wh3_main_sla_exalted_keeper_of_secrets_slaanesh	wh3_main_sla_exalted_keeper_of_secrets_slaanesh
wh3_main_sla_herald_of_slaanesh_shadow	wh3_main_sla_herald_of_slaanesh_shadow
wh3_main_sla_herald_of_slaanesh_slaanesh	wh3_main_sla_herald_of_slaanesh_slaanesh
wh3_main_sla_nkari	wh3_main_sla_nkari
wh3_main_slaanesh_disciple_army	wh3_main_sla_herald_of_slaanesh_slaanesh_disciple_army
wh3_main_stance_csc_khorne_daemon_prince_khorne	wh3_dlc20_chs_daemon_prince_khorne
wh3_main_stance_csc_khorne_lord_mkho	wh3_dlc20_chs_lord_mkho
wh3_main_stance_csc_khorne_valkia	wh3_dlc20_kho_valkia
wh3_main_stance_csc_nurgle_daemon_prince_nurgle	wh3_dlc20_chs_daemon_prince_nurgle
wh3_main_stance_csc_nurgle_festus	wh3_dlc20_nur_festus
wh3_main_stance_csc_nurgle_lord_mnur	wh3_dlc25_chs_lord_mnur
wh3_main_stance_csc_nurgle_sorcerer_lord_nur_death	wh3_dlc20_chs_sorcerer_lord_death_mnur
wh3_main_stance_csc_nurgle_sorcerer_lord_nur_nurgle	wh3_dlc20_chs_sorcerer_lord_nurgle_mnur
wh3_main_stance_csc_slaanesh_azazel	wh3_dlc20_sla_azazel
wh3_main_stance_csc_slaanesh_daemon_prince_slaanesh	wh3_dlc20_chs_daemon_prince_slaanesh
wh3_main_stance_csc_slaanesh_lord_msla	wh3_dlc20_chs_lord_msla
wh3_main_stance_csc_slaanesh_sigvald	wh_dlc01_chs_prince_sigvald
wh3_main_stance_csc_slaanesh_sorcerer_lord_sla_shadows	wh3_dlc27_chs_sorcerer_lord_shadows_msla
wh3_main_stance_csc_slaanesh_sorcerer_lord_sla_slaanesh	wh3_dlc27_chs_sorcerer_lord_slaanesh_msla
wh3_main_stance_csc_tzeentch_chs_lord_mtze	wh3_dlc24_chs_lord_mtze
wh3_main_stance_csc_tzeentch_daemon_prince_tzeentch	wh3_dlc20_chs_daemon_prince_tzeentch
wh3_main_stance_csc_tzeentch_sorcerer_lord_tze_metal	wh3_dlc20_chs_sorcerer_lord_metal_mtze
wh3_main_stance_csc_tzeentch_sorcerer_lord_tze_tzeentch	wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze
wh3_main_stance_csc_tzeentch_vilitch	wh3_dlc20_tze_vilitch
wh3_main_stances_cth_dragon_blooded_shugengan_yang	wh3_main_cth_dragon_blooded_shugengan_yang
wh3_main_stances_cth_dragon_blooded_shugengan_yin	wh3_main_cth_dragon_blooded_shugengan_yin
wh3_main_stances_cth_lord_caravan_master	wh3_main_cth_lord_caravan_master
wh3_main_stances_cth_lord_magistrate_reserves	wh3_dlc24_cth_lord_magistrate_reserves
wh3_main_stances_cth_lord_magistrate_yang	wh3_main_cth_lord_magistrate_yang
wh3_main_stances_cth_lord_magistrate_yin	wh3_main_cth_lord_magistrate_yin
wh3_main_stances_cth_miao_ying	wh3_main_cth_miao_ying
wh3_main_stances_cth_zhao_ming	wh3_main_cth_zhao_ming
wh3_pro11_chs_cha_harald_hammerstorm	wh3_pro11_chs_cha_harald_hammerstorm
wh_dlc07_alberic_agent	wh_dlc07_brt_alberic
