battle_map_location	group	catchment_name	tile_upgrades
terrain\battles\city_empire_fort\	wh3_main_emp_settlement_forts		
terrain/battles/major_a_emp/	wh3_main_emp_settlement_standard_1		
terrain/battles/major_c_emp/	wh3_main_emp_settlement_standard_2	catchment_01	
terrain/battles/major_v_emp/	wh3_main_emp_settlement_standard_3	catchment_01	
terrain\battles\minor_c_emp\	wh3_main_emp_settlement_unfortified_1	catchment_01	
terrain\battles\minor_a_emp\	wh3_main_emp_settlement_unfortified_2		
terrain\battles\minor_v_emp\	wh3_main_emp_settlement_unfortified_3		
terrain\battles\minor_n_emp\	wh3_main_emp_settlement_unfortified_4		
terrain/battles/major_e_grn/	wh3_main_grn_settlement_standard_1		
terrain\battles\minor_e_grn\	wh3_main_grn_settlement_unfortified_1		
terrain\battles\minor_j_grn\	wh3_main_grn_settlement_unfortified_2		
terrain\battles\minor_s_grn\	wh3_main_grn_settlement_unfortified_3		
terrain\battles\city_fortress_gate\	wh3_main_hef_settlement_gates		
terrain\battles\major_e_hef\	wh3_main_hef_settlement_standard_1		
terrain\battles\major_f_hef\	wh3_main_hef_settlement_standard_2		
terrain\battles\qb_wh2_dlc15_tor_yvresse\	wh3_main_hef_settlement_toryvresse	catchment_01	
terrain\battles\minor_e_hef\	wh3_main_hef_settlement_unfortified_1		
terrain\battles\minor_f_hef\	wh3_main_hef_settlement_unfortified_2		
terrain\battles\island_grassy_01\	wh3_main_island_grassy	*	
terrain\battles\cst_island_1_snowy\	wh3_main_island_snow	*	
terrain\battles\cst_island_2_snowy\	wh3_main_island_snow	*	
terrain\battles\cst_island_3_snowy\	wh3_main_island_snow	*	
terrain\battles\island_snowy_01\	wh3_main_island_snow	*	
terrain\battles\island_tropical_01\	wh3_main_island_tropical	*	
terrain/battles/major_b_ksl/	wh3_main_ksl_settlement_standard_1		
terrain/battles/major_c_ksl/	wh3_main_ksl_settlement_standard_2	catchment_01	
terrain/battles/major_h_ksl/	wh3_main_ksl_settlement_standard_3		
terrain\battles\minor_b_ksl\	wh3_main_ksl_settlement_unfortified_1		
terrain\battles\minor_c_ksl\	wh3_main_ksl_settlement_unfortified_2	catchment_01	
terrain\battles\minor_h_ksl\	wh3_main_ksl_settlement_unfortified_3	catchment_01	
terrain\battles\minor_a_ksl\	wh3_main_ksl_settlement_unfortified_4		
terrain/battles/major_d_lzd/	wh3_main_lzd_settlement_standard_1	catchment_01	
terrain/battles/major_f_lzd/	wh3_main_lzd_settlement_standard_2		
terrain\battles\minor_d_lzd\	wh3_main_lzd_settlement_unfortified_1	catchment_01	
terrain\battles\minor_f_lzd\	wh3_main_lzd_settlement_unfortified_2		
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast_ambush	catchment_11	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast_ambush	catchment_12	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_02	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_03	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_04	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_05	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_06	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_07	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_13	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_14	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_15	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_16	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_17	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_coast	catchment_18	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_marsh_ambush	catchment_11	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_marsh_ambush	catchment_12	
terrain/battles/chokepoint_badlands_chasm/	wh3_main_macro_badlands_marsh_chokepoint		
terrain/battles/chokepoint_badlands_mountain_pass/	wh3_main_macro_badlands_marsh_chokepoint		
terrain/battles/chokepoint_blood_river_valley_river/	wh3_main_macro_badlands_marsh_chokepoint		
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_marsh	catchment_08	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_marsh	catchment_09	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_marsh	catchment_10	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands_ambush	catchment_11	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands_ambush	catchment_12	
terrain/battles/chokepoint_badlands_river/	wh3_main_macro_badlands_wastelands_chokepoint		
terrain/battles/chokepoint_badlands_river_b/	wh3_main_macro_badlands_wastelands_chokepoint		
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands_chokepoint	catchment_08	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands_chokepoint	catchment_09	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands_chokepoint	catchment_10	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_02	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_03	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_04	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_05	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_06	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_07	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_13	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_14	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_15	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_16	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_17	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh3_main_macro_badlands_wastelands	catchment_18	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest_ambush	catchment_09	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest_ambush	catchment_10	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest_ambush	catchment_11	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest_chokepoint	catchment_07	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest_chokepoint	catchment_08	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_main_macro_brt_forest_ogr_camp	catchment_12	wh3_main_ogr_camp
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_01	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_02	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_03	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_04	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_05	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_06	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_13	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_14	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_15	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_16	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_17	
terrain\battles\wh3_dlc21_macro_brt_forest_01\	wh3_main_macro_brt_forest	catchment_18	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes_ambush	catchment_09	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes_chokepoint	catchment_10	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains_ambush	catchment_10	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains_ambush	catchment_11	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains_ambush	catchment_12	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains_chokepoint	catchment_07	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains_chokepoint	catchment_08	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_01	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_02	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_03	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_04	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_05	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_06	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_09	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_13	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_14	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_15	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_16	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_17	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_18	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_19	
terrain\battles\chs_wastes_mountains_a\	wh3_main_macro_chs_wastes_mountains	catchment_20	
terrain\battles\wh3_main_macro_chs_wastes_02_ogr_camp\	wh3_main_macro_chs_wastes_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_01	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_02	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_03	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_04	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_05	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_06	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_07	
terrain/battles/wh3_main_macro_chs_wastes_01/	wh3_main_macro_chs_wastes	catchment_08	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert_ambush	catchment_05	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert_ambush	catchment_11	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert_chokepoint	catchment_03	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert_chokepoint	catchment_06	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_01	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_02	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_04	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_07	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_08	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_09	
terrain/battles/wh3_main_macro_cth_desert_01/	wh3_main_macro_cth_desert	catchment_10	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms_ambush	catchment_06	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms_ambush	catchment_11	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms_chokepoint	catchment_01	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms_chokepoint	catchment_03	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms_initial_battle	catchment_02	
terrain/battles/cth_ricepaddies_01/	wh3_main_macro_cth_farms	catchment_09	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_02	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_04	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_05	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_07	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_08	
terrain/battles/wh3_main_macro_cth_farms_01/	wh3_main_macro_cth_farms	catchment_10	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains_ambush	catchment_05	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains_ambush	catchment_11	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains_chokepoint	catchment_04	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains_chokepoint	catchment_07	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_01	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_02	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_03	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_06	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_08	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_09	
terrain/battles/wh3_main_macro_cth_mountains_01/	wh3_main_macro_cth_mountains	catchment_10	
terrain/battles/wh3_main_macro_cth_mountains_01_ogr_camp/	wh3_main_macro_cth_mtnplains_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_cth_wasteland_01_ogr_camp/	wh3_main_macro_cth_mtnplains_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland_ambush	catchment_05	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland_ambush	catchment_11	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland_chokepoint	catchment_03	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland_chokepoint	catchment_04	
terrain/battles/wh3_main_macro_cth_mountains_01_ogr_camp/	wh3_main_macro_cth_wasteland_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_cth_wasteland_01_ogr_camp/	wh3_main_macro_cth_wasteland_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_01	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_02	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_06	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_07	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_08	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_09	
terrain/battles/wh3_main_macro_cth_wasteland_01/	wh3_main_macro_cth_wasteland	catchment_10	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_crater_ambush	catchment_12	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_01	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_02	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_03	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_04	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_05	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_06	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_07	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_08	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_09	
terrain/battles/wh3_main_macro_dar_crater_01/	wh3_main_macro_dar_crater	catchment_10	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains_ambush	catchment_12	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains_chokepoint	catchment_10	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains_chokepoint	catchment_11	
terrain\battles\wh3_main_macro_dar_mountains_01_ogr_camp\	wh3_main_macro_dar_mountains_ogr_camp	catchment_12	wh3_main_ogr_camp
terrain\battles\wh3_main_macro_dar_plains_01_ogr_camp\	wh3_main_macro_dar_mountains_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_01	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_02	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_03	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_04	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_05	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_06	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_07	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_08	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_09	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_mountains	catchment_10	
terrain/battles/wh3_main_macro_dar_mountains_01/	wh3_main_macro_dar_plains_ambush	catchment_12	
terrain\battles\wh3_main_macro_dar_mountains_01_ogr_camp\	wh3_main_macro_dar_plains_ogr_camp	catchment_12	wh3_main_ogr_camp
terrain\battles\wh3_main_macro_dar_plains_01_ogr_camp\	wh3_main_macro_dar_plains_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_01	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_02	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_03	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_04	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_05	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_06	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_07	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_08	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_09	
terrain/battles/wh3_main_macro_dar_plains_01/	wh3_main_macro_dar_plains	catchment_10	
terrain\battles\dar_infield_a\	wh3_main_macro_dar_river_chokepoint	catchment_07	
terrain\battles\dar_infield_a\	wh3_main_macro_dar_river_chokepoint	catchment_08	
terrain\battles\wh3_main_macro_dar_river_01\	wh3_main_macro_dar_river_chokepoint	catchment_01	
terrain\battles\wh3_main_macro_dar_river_01\	wh3_main_macro_dar_river_chokepoint	catchment_02	
terrain\battles\wh3_main_macro_dar_river_01\	wh3_main_macro_dar_river_chokepoint	catchment_03	
terrain\battles\wh3_main_macro_dar_river_01\	wh3_main_macro_dar_river_chokepoint	catchment_04	
terrain\battles\wh3_main_macro_dar_river_01\	wh3_main_macro_dar_river_chokepoint	catchment_05	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast_ambush	catchment_09	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast_ambush	catchment_10	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast_ambush	catchment_11	
terrain/battles/chokepoint_grassland_river/	wh3_main_macro_emp_coast_chokepoint		
terrain/battles/chokepoint_grassland_river_b/	wh3_main_macro_emp_coast_chokepoint		
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast_chokepoint	catchment_07	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast_chokepoint	catchment_08	
terrain\battles\wh3_main_macro_emp_forest_02_ogr_camp\	wh3_main_macro_emp_coast_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_01	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_02	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_03	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_04	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_05	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_06	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_13	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_14	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_15	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_16	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_17	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_coast	catchment_18	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest_ambush	catchment_09	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest_ambush	catchment_10	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest_chokepoint	catchment_11	
terrain\battles\wh3_main_macro_emp_forest_02_ogr_camp\	wh3_main_macro_emp_forest_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_01	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_02	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_03	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_04	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_05	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_06	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_07	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_08	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_09	
terrain/battles/wh3_main_macro_emp_forest_01/	wh3_main_macro_emp_forest	catchment_10	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_01	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_02	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_03	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_04	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_05	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_06	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_07	
terrain/battles/wh3_main_macro_emp_forest_02/	wh3_main_macro_emp_forest	catchment_08	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands_ambush	catchment_09	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands_ambush	catchment_10	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands_ambush	catchment_11	
terrain/battles/chokepoint_grassland_river/	wh3_main_macro_emp_grasslands_chokepoint		
terrain/battles/chokepoint_grassland_river_b/	wh3_main_macro_emp_grasslands_chokepoint		
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands_chokepoint	catchment_07	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands_chokepoint	catchment_08	
terrain\battles\wh3_main_macro_emp_forest_02_ogr_camp\	wh3_main_macro_emp_grasslands_ogr_camp	catchment_01	wh3_main_ogr_camp
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_01	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_02	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_03	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_04	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_05	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_06	
terrain\battles\wh3_dlc21_macro_emp_grasslands_01\	wh3_main_macro_emp_grasslands	catchment_13	
