key	value	description
CAI_VARIABLE_OGRE_MEAT_LEVEL_MODERATE_AT_OR_ABOVE	40.0000	(In-game) Used to determine what the CAI consideres a moderate level of ogre meat at an army
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_MEAT_LEVEL_STRENGTH_RATIO_MAX	0.7000	(In-game) If the Ogre AI's alliance's strength ratio to the enemy alliance equals this value (or higher), the AI uses the lowest level Meat effect. I.e. if I'm strong, I'm use the weakest Meat level (if I can afford it).
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_MEAT_LEVEL_STRENGTH_RATIO_MIN	0.5000	(In-game) If the Ogre AI's alliance's strength ratio to the enemy alliance equals this value (or lower), the AI uses the highest level Meat effect. I.e. if I'm weak, I'll use the strongest Meat level. This is independent of cost, so if this ratio allows a meat level that the army cannot afford, then we'll use the highest that we can afford instead.
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_AT_MAX_RATIO	1.0000	(In-game) On the prebattle screen, the percentage change that the Ogre AI will use meat at strength ratio of cai_variable_ogre_meat_prebattle_usage_chance_strength_ratio_max or higher
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_AT_MAX_RATIO_PLAYER	1.0000	(In-game) On the prebattle screen, the percentage change that the Ogre AI will use meat in battles that are specifically against the player at strength ratio of cai_variable_ogre_meat_prebattle_usage_chance_strength_ratio_max or higher
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_AT_MIN_RATIO	50.0000	(In-game) On the prebattle screen, the percentage change that the Ogre AI will use meat at strength ratio of cai_variable_ogre_meat_prebattle_usage_chance_strength_ratio_min or lower
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_AT_MIN_RATIO_PLAYER	50.0000	(In-game) On the prebattle screen, the percentage change that the Ogre AI will use meat in battles that are specifically against the player at strength ratio of cai_variable_ogre_meat_prebattle_usage_chance_strength_ratio_min or lower
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_STRENGTH_RATIO_MAX	0.7000	(In-game) On the prebattle screen, if the Ogre AI's alliance's strength ratio to the enemy alliance equals this value (or higher), we'll use the cai_variable_ogre_meat_prebattle_usage_chance_at_max_ratio chance (or the player variant) when we do a random roll on using this feature.
CAI_VARIABLE_OGRE_MEAT_PREBATTLE_USAGE_CHANCE_STRENGTH_RATIO_MIN	0.3000	(In-game) On the prebattle screen, if the Ogre AI's alliance's strength ratio to the enemy alliance equals this value (or lower), we'll use the cai_variable_ogre_meat_prebattle_usage_chance_at_min_ratio chance (or the player variant) when we do a random roll on using this feature.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	1.0500	(In-game) Upper bound for player AP deadzone adjustment for threat detection purposes.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	0.9500	(In-game) Lower bound for player AP deadzone adjustment for threat detection purposes. The AI will not consider the players movement range to be within the range of this and ...DEADZONE_MAX
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	1.1000	(In-game) Upper bound for player AP adjustment for threat detection purposes.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	0.9000	(In-game) Lower bound for player AP adjustment for threat detection purposes. The AI will scale the players movement range by a random value between this and ...ADJUSTMENT_MAX when calculating its movement.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	2.0000	(In-game) The point at or below which bonus will be provided to public order improvement buildings.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_APPLY_PENALTY_BELOW	0.0000	(In-game) The point below which a public order penalty will be applied to a building option.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_BONUS	10.0000	(In-game) Bonus applied (per public order point) for buildings that increae public order up to the specified level.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5000	(In-game) When calculating public order based building score adjustements, the discount applied for being a new building.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_PENALTY	50.0000	(In-game) Penalty applied (per public order point) for buildings that use public order beyond the specified level.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	50.0000	(In-game) The public order problem score for a province beyond which conversion is considered as a solution.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	200.0000	(In-game) The public order problem score for a province beyond which demolition is considered as a solution.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	10.0000	(In-game) The maximum public order problem score that can be accumulated in one round for a given province.
CAI_VARIABLE_REBEL_QUALITY_MULTIPLIER	0.1500	(In-game) Limits the rebel unit quality to (([sum of building levels in region] * multiplier) + offset) * [quality of best recruitable unit in faction province].
CAI_VARIABLE_REBEL_QUALITY_OFFSET	0.7500	(In-game) Limits the rebel unit quality to (([sum of building levels in region] * multiplier) + offset) * [quality of best recruitable unit in faction province].
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_ADJUSTMENT_ON_FURTHER_REBELLION_MAX	-1.0000	(In-game) In the case that an additional rebellion would trigger in a region with an existing rebellion, by how much should that existing rebellions attack time out be adjusted. Maximum adjustment.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_ADJUSTMENT_ON_FURTHER_REBELLION_MIN	-1.0000	(In-game) In the case that an additional rebellion would trigger in a region with an existing rebellion, by how much should that existing rebellions attack time out be adjusted. Minimum adjustment.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_MAXIMUM	7.0000	(In-game) Maximum timeout used for a rebel faction before it should consider an arbitrary attack.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_MINIMUM	2.0000	(In-game) Minimum timeout used for a rebel faction before it should consider an arbitrary attack.
CAI_VARIABLE_REGION_TRADING_BREAK_PROVINCE_PENALTY	50.0000	(In-game) Penalty for giving away regions from provinces owned entirely by us.
CAI_VARIABLE_REGION_TRADING_BUILDING_VALUE_MULTIPLIER	0.0200	(In-game) Used to multiply the building evaluation given by the construction system behaviour desire.
CAI_VARIABLE_REGION_TRADING_COMPLETE_PROVINCE_BONUS	10.0000	(In-game) Bonus for obtaining regions which complete our partially owned provinces.
CAI_VARIABLE_REGION_TRADING_GAINED_RESOURCES_MULTIPLIER	0.0000	(In-game) Multiplied by the number of resources we would gain by obtaining the region.
CAI_VARIABLE_REGION_TRADING_GAIN_UNSTABLE_REGION_PENALTY	0.0000	(In-game) Penalty for obtaining regions with bad public order.
CAI_VARIABLE_REGION_TRADING_GAIN_VICTORY_REGION_BONUS	20.0000	(In-game) Bonus for obtaining a region for which this faction has a region hint for a victory condition.
CAI_VARIABLE_REGION_TRADING_LOSE_STABLE_REGION_PENALTY	0.0000	(In-game) Penalty for giving away regions with stable public order.
CAI_VARIABLE_REGION_TRADING_LOSE_VICTORY_REGION_PENALTY	100.0000	(In-game) Penalty for giving away a region for which this faction has a region hint for a victory condition.
CAI_VARIABLE_REGION_TRADING_LOST_RESOURCES_MULTIPLIER	0.0000	(In-game) Multiplied by the number of resources we would lose by giving the region away.
CAI_VARIABLE_REGION_TRADING_LOST_UNITS_MULTIPLIER	0.0000	(In-game) Multiplied by the sum of the tiers of the unit types we would lose by giving the region away.
CAI_VARIABLE_REGION_TRADING_PARTIAL_PROVINCE_BONUS	5.0000	(In-game) Bonus for obtaining regions in provinces partially owned by us.
CAI_VARIABLE_REGION_TRADING_RECENTLY_ACQUIRED_PENALTY	10.0000	(In-game) Penalty for giving away recently acquired regions of ours.
CAI_VARIABLE_REGION_WINDS_OF_MAGIC_LEVEL_HIGH_AT_OR_ABOVE	3.0000	(In-game) Used for the CAI to determine what is considered a high winds of magic amount for a region; NOTE: as regions use a winds of magic strength record, with a level between 0 and 5, this is not comparable with the above winds of magic variables!
CAI_VARIABLE_RFB_EASY_NO_BELOW_MIN_UNITS	5.0000	(In-game) Below this number of defending units don't allow retreat (easy difficulty).
CAI_VARIABLE_RFB_EASY_YES_BELOW_RATIO_NO_SETT_RETREAT	0.2000	DEPRECATED
CAI_VARIABLE_RFB_EASY_YES_BELOW_RATIO_SETT_RETREAT	0.4000	DEPRECATED
CAI_VARIABLE_RFB_HARD_NO_BELOW_MIN_UNITS	4.0000	(In-game) Below this number of defending units don't allow retreat (hard difficulty).
CAI_VARIABLE_RFB_HARD_YES_BELOW_RATIO_NO_SETT_RETREAT	0.4000	DEPRECATED
CAI_VARIABLE_RFB_HARD_YES_BELOW_RATIO_SETT_RETREAT	0.6000	DEPRECATED
CAI_VARIABLE_RFB_NORMAL_NO_BELOW_MIN_UNITS	4.0000	(In-game) Below this number of defending units don't allow retreat (normal difficulty).
CAI_VARIABLE_RFB_NORMAL_YES_BELOW_RATIO_NO_SETT_RETREAT	0.3000	DEPRECATED
CAI_VARIABLE_RFB_NORMAL_YES_BELOW_RATIO_SETT_RETREAT	0.5000	DEPRECATED
CAI_VARIABLE_RFB_TEST_VERSUS_AI	1.0000	DEPRECATED
CAI_VARIABLE_RFB_VHARD_NO_BELOW_MIN_UNITS	4.0000	(In-game) Below this number of defending units don't allow retreat (Legendary difficulty (despite the name)) (Very Hard is hardcoded to be 4).
CAI_VARIABLE_RFB_VHARD_YES_BELOW_RATIO_NO_SETT_RETREAT	0.4500	DEPRECATED
CAI_VARIABLE_RFB_VHARD_YES_BELOW_RATIO_SETT_RETREAT	0.6500	DEPRECATED
CAI_VARIABLE_SAFE_PATH_STRENGTH_MODIFIER	1.0000	(In-game) Modifier for own strength in safe path calculations.
CAI_VARIABLE_SETTLEMENT_LOST_STRENGTH_PENALTY_COORDINATOR	100000.0000	(In-game) Used for the CAI coordinator while scoring to apply a penalty to strength losses when losing settlements.
CAI_VARIABLE_SETTLEMENT_NIGHT_BATTLE_PERCENT	5.0000	(In-game) Percentage chance that the AI will choose to fight you at night for settlement battles.
CAI_VARIABLE_SETTLEMENT_STRENGTH_MODIFIER_ASSAULT	1.0000	(In-game) Personality-based modifier for assaulting settlements.
CAI_VARIABLE_SETTLEMENT_STRENGTH_MODIFIER_DEFEND	1.0000	(In-game) Personality-based modifier for defending settlements.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	0.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_APPLY_PENALTY_BELOW	0.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_BONUS	2.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_PENALTY	10.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	31.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	61.0000	DEPRECATED
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	5.0000	DEPRECATED
CAI_VARIABLE_STRATEGIC_BALANCE_BASE_HEX_VALUE	0.1000	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_BASE_VALUE	300.0000	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_HEX_VALUE_CAP	5.0000	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_HEX_VALUE_MULTIPLIER	0.0000	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_CONTEXT_ADJUSTMENT_PER_NUM_ENEMIES	1.0000	(In-game) Adjustment to strategic balance is applied for every X enemies.
CAI_VARIABLE_STRATEGIC_CONTEXT_ADJUSTMENT_VALUE	-0.2000	(In-game) Adjustment to strategic balance applied for the purpose of strategic context calculations. (Currently applied for CAI_VARIABLE_STRATEGIC_CONTEXT_ADJUSTMENT_PER_NUM_ENEMIES number of wars).
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_EXISTING_STANCE_GROUP_SCORE_BONUS_CAP	0.5000	(In-game) Strategic stance system control, provides the limit on the 'existing stances' bonus to a given stance group.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_CURRENT_ATTITUDE_ADJUSTMENT_MULTIPLIER	1.0000	(In-game) Strategic stance system control, current attitude adjustment factor reliability multipler.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_FRIENDLY_BIAS	6.0000	(In-game) Strategic stance system control, the bias provided towards the friendly stance in the subjugation case.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_PER_STANCE_DROP_RATE	4.0000	(In-game) Strategic stance system control, the drop rate from friendly.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_BEING_HUMAN	0.0000	(In-game) Strategic stance system score weighting, impact of being human.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_CURRENT_ATTITUDE	3.0000	(In-game) Strategic stance system score weighting, impact of current and historical attitude.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_DIPLOMATIC_TREATIES_CORE	0.5000	(In-game) Strategic stance system score weighting, impact of basic treaties.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_DIPLOMATIC_TREATIES_TRANSITIVE	0.5000	(In-game) Strategic stance system score weighting, impact of transitive effects between factions based on basic treaties.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_EXISTING_STANCE	0.5000	(In-game) Strategic stance system score weighting, impact of existing faction stance.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_IMPORTANCE	0.0000	(In-game) Strategic stance system score weighting, impact of 'importance'.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_SUBJUGATION	0.0000	(In-game) Strategic stance system score weighting, impact of subjugation.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_TASKS	0.0000	(In-game) Strategic stance system score weighting, impact of task generation (types and targets).
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_TREACHERY	1.0000	(In-game) Strategic stance system score weighting, impact of treacheries.
CAI_VARIABLE_STRATEGIC_WAR_LOSSES_DETECTION_HORIZON_IN_ROUNDS	10.0000	(In-game) Time horizon in rounds of war losses considereded in diplomacy.
CAI_VARIABLE_TREACHERY_COMPLEX_EVENT_DETECTION_HORIZON_IN_ROUNDS	10.0000	(In-game) Time horizon in rounds beyond which a 'complex' treachery won't be detected.
CAI_VARIABLE_TREACHERY_EVENT_FALLOFF_BASE	1.0000	(In-game) Maximum rate of per event drop of for treachery events. Actually drop of moderated by number of current treachery events.
CAI_VARIABLE_TRESPASS_WARNING_DURATION	10.0000	(In-game) How long until a trespass warning expires, for the purposes of the TRESPASS_AFTER_WARNING event.
CAI_VARIABLE_TRESPASS_WARNING_GRACE_PERIOD	2.0000	(In-game) How long a faction has to get out of a faction's lands they've been trespassed-warned by until the TRESPASS_AFTER_WARNING diplomatic event starts kicking in
CAI_VARIABLE_TURNS_TO_IGNORE_SETTLEMENT_AFTER_RAZING	10.0000	(In-game) Number of turns task generation will ignore settlements after it's been razed. 0 = ignore for the current turn only.
CAI_VARIABLE_TURNS_TO_IGNORE_SETTLEMENT_AFTER_SACKING	4.0000	(In-game) Number of turns task generation will ignore settlements after sacking it. 0 = ignore for the current turn only.
CAI_VARIABLE_TURNS_TO_IGNORE_SETTLEMENT_AFTER_SACKING_CRD	4.0000	(In-game) Number of turns coordinator will ignore settlements after sacking. 0 = ignore for the current turn only.
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_BONUS	100000.0000	(In-game) AI strength bonus for unfortified settlements (Includes both ones which will load minor settlement battle maps, and ones which will load land battle maps)
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER	1.2000	(In-game) AI strength multiplier for unfortified settlements (Includes both ones which will load minor settlement battle maps, and ones which will load land battle maps).
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_PRE_ASSAULT	1.1000	(In-game) AI strength multiplier for unfortified settlements, pre-assault. (Includes both ones which will load minor settlement battle maps, and ones which will load land battle maps)
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_THREAT	1.0000	(In-game) AI strength multiplier for unfortified settlements used for threat detection. (Includes both ones which will load minor settlement battle maps, and ones which will load land battle maps)
CAI_VARIABLE_VICTORY_REGION_ADD_STARTING_REGIONS	0.0000	DEPRECATED
CAI_VARIABLE_VICTORY_REGION_MINIMUM_EXTRA	0.0000	DEPRECATED
CAI_VARIABLE_VICTORY_REGION_MINIMUM_FERTILITY	0.0000	DEPRECATED
CAI_VARIABLE_VICTORY_REGION_MINIMUM_TOTAL	0.0000	DEPRECATED
CAI_VARIABLE_WAAGH_QUALITY_MULTIPLIER	0.5000	(In-game) Used for the cap of waags with respect to their parents.  Between 0 and 1, 1 indicates the cap will be higher.
CAI_VARIABLE_WINDS_OF_MAGIC_HIGH_AT_OR_ABOVE	75.0000	(In-game) Used for the CAI to determine what is considered a high winds of magic amount for a military force.
CAI_VARIABLE_WINDS_OF_MAGIC_MODERATE_AT_OR_ABOVE	30.0000	(In-game) Used for the CAI to determine what is considered a moderate winds of magic amount for a military force.
