key	water	sails	mud	grass	road	rock	sand	snow	leather	wood	blood	camera_shake
wh2_main_army_abilities_vortic_enrichment_shrapnel	wh_main_impact_medium_water		wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact		wh_main_unit_impact_medium
wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact		wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact_spherical	wh2_main_black_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_chaos_dragon_breath_impact	wh_main_steam_explosion_medium		wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact_spherical	wh2_main_chaos_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_character_abilities_volley_arrows_def	wh_main_impact_medium_water		wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact		wh_main_unit_impact_medium
wh2_main_character_abilities_volley_arrows_hef	wh_main_impact_medium_water		wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact		wh_main_unit_impact_medium
wh2_main_eagleclaw_bolt	wh2_main_weapon_eagleclaw_bolt_impact		wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_main_eagleclaw_spread	wh2_main_weapon_eagleclaw_spread_impact		wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact		wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact_spherical	wh2_main_forest_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_hero_abilities_doomrocket_impact	wh_main_impact_medium_water		wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact		wh_main_unit_impact_medium
wh2_main_hydra_dragon_breath_impact	wh2_main_hydra_breath_impact		wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact_spherical	wh2_main_hydra_breath_impact		wh_main_unit_impact_heavy
wh2_main_lzd_bastiladon_solar_engine	wh_main_impact_medium_water		wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact		wh_main_unit_impact_medium
wh2_main_lzd_fire_leech_bola	wh_main_impact_vsmall_water		wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact		
wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact		wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact_spherical	wh2_main_moon_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_skv_plagueclaw	wh2_main_machine_plagueclaw_catapult_impact		wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact		wh_main_unit_impact_heavy
wh2_main_skv_warp_lightning	wh_main_impact_medium_water		wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact		wh_main_unit_impact_medium
wh2_main_skv_warp_lightning_doomwheel	wh_main_impact_medium_water		wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact		wh_main_unit_impact_light
wh2_main_skv_warpfire_impact	wh_main_impact_medium_water		wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact		wh_main_unit_impact_light
wh2_main_spell_dark_magic_doombolt	wh_main_impact_medium_water		wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh3_main_dark_doombolt_explosion	wh2_main_dark_doombolt_impact		wh_main_unit_impact_light
wh2_main_spell_high_magic_soul_quench	wh_main_impact_medium_water		wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact		wh_main_unit_impact_light
wh2_main_spell_ruin_warp_lightning_impact	wh_main_impact_medium_water		wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact		
wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact		wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact_spherical	wh2_main_star_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_sun_dragon_breath_impact	wh_main_steam_explosion_medium		wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact_spherical	wh2_main_sun_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_terrorgheist_dragon_breath_impact	wh2_main_terrorgheist_breath_impact		wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact_spherical	wh2_main_terrorgheist_breath_impact		wh_main_unit_impact_heavy
wh2_main_unit_abilities_drop_rocks	wh_main_impact_large_water		wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh_main_projectile_penetration_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_unit_abilities_wake_of_fire_impact	wh_main_impact_large_water		wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh_main_projectile_penetration_impact	wh2_main_abilities_wake_of_fire_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_weapon_abilities_bow_of_the_seafarer	wh2_main_abilities_bow_of_the_seafarer_impact		wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact		wh_main_unit_artillery_footstep
wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact		wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact_spherical	wh2_main_zombie_dragon_breath_impact		wh_main_unit_impact_heavy
wh3_dlc20_marauder_khorne_axe_impact	wh_main_impact_medium_water		wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh3_dlc20_marauder_impact_axe_khorne	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh3_dlc20_marauder_tzeentch_javelin_impact	wh3_dlc20_marauder_impact_javelin_tzeentch		wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch	wh3_dlc20_marauder_impact_javelin_tzeentch		wh_main_unit_impact_light
wh3_dlc20_searing_doom_impact	wh_main_impact_medium_water		wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact	wh3_dlc20_searing_doom_impact		wh_main_unit_impact_light
wh3_dlc23_chd_bale_taurus_fire_breath	wh3_dlc23_entity_bale_taurus_fire_breath_impact_spherical		wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact	wh3_dlc23_entity_bale_taurus_fire_breath_impact_spherical	wh3_dlc23_entity_bale_taurus_fire_breath_impact		wh_main_unit_impact_heavy
wh3_dlc23_chd_blunderbuss	wh3_dlc23_blunderbuss_impact		wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh3_dlc23_blunderbuss_impact	wh_dlc02_arrow_impact_blood_medium	
wh3_dlc23_deathshrieker_rocket_demolition	wh_main_impact_medium_water		wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion	wh3_dlc23_deathshrieker_rocket_demolition_explosion		wh_main_unit_impact_medium
wh3_dlc23_doom_of_hashut	wh3_dlc23_doom_of_hashut_mushroom_cloud		wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud	wh3_dlc23_doom_of_hashut_mushroom_cloud		wh_main_unit_impact_heavy
wh3_dlc23_flame_and_shadow	wh3_dlc23_flame_and_shadow_mushroom_cloud		wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud	wh3_dlc23_flame_and_shadow_mushroom_cloud		wh_main_unit_impact_heavy
wh3_dlc23_hashut_flames_of_azgorh	wh_main_impact_medium_water		wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact	wh3_dlc23_hashut_flames_of_azgorh_projectile_impact		wh_main_unit_impact_light
wh3_dlc23_iron_daemon_carronade_impact	wh_main_impact_medium_water		wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh3_dlc23_iron_daemon_carronade_muz_decal	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_dlc23_iron_daemon_flamethrow_impact	wh_main_impact_medium_water		wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh3_dlc23_iron_daemon_flamethrow_muz_decal	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_dlc23_ulrika_skjalandirs_fall_impact	wh_main_impact_medium_water		wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh3_dlc23_ulrika_special_arrow_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact		wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact	wh3_main_abilities_bellow_of_endless_fury_impact_spherical	wh3_main_abilities_bellow_of_endless_fury_impact		wh_main_unit_impact_heavy
wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact		wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact	wh3_main_abilities_bellow_of_fury_impact_spherical	wh3_main_abilities_bellow_of_fury_impact		wh_main_unit_impact_heavy
wh3_main_abilities_crippling_throw	wh3_main_abilities_crippling_throw_impact		wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact	wh3_main_abilities_crippling_throw_impact		wh_main_unit_artillery_footstep
wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker		wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh3_main_abilities_stone_shaker	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh3_main_ability_godkiller_impact	wh_main_impact_small_water		wh3_main_ability_godkiller_impact	wh3_main_ability_godkiller_impact	wh3_main_ability_godkiller_impact	wh3_main_ability_godkiller_impact	wh3_main_ability_godkiller_impact	wh3_main_ability_godkiller_impact	wh_main_projectile_penetration_impact	wh3_main_ability_godkiller_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh3_main_army_abilities_bolt_of_change	wh_main_impact_medium_water		wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact	wh3_main_army_abilities_bolt_of_change_impact		wh_main_unit_impact_light
wh3_main_army_abilities_storm_of_fire	wh_main_impact_medium_water		wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact	wh3_main_army_abilities_storm_of_fire_impact		wh_main_unit_impact_light
wh3_main_arrow_bounce	wh3_main_impact_arrow_terrain		wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	wh3_main_impact_arrow_terrain	
wh3_main_celestial_intervention_impact												wh_main_unit_impact_heavy
wh3_main_character_abilities_ice_shard	wh_main_impact_medium_water		wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact	wh3_main_ability_ice_shard_impact		wh_main_unit_impact_light
wh3_main_entity_blood_throne_projectile_impact	wh_main_impact_large_water		wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh3_main_entity_blood_throne_projectile_impact	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_main_heavens_cataclysm_thorsens_thunderstorm	wh_main_impact_medium_water		wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact	wh3_main_cataclysm_thorsens_thunderstorm_impact		wh_main_unit_impact_medium
wh3_main_impact_ksl_bow_ice_guard	wh_main_impact_vsmall_water		wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh3_main_ksl_ice_guard_arrow_impact	wh_dlc02_arrow_impact_blood_medium	
wh3_main_ksl_elemental_breath_impact	wh3_main_entity_bear_ice_breath_impact		wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact	wh3_main_entity_bear_ice_breath_impact		wh_main_unit_impact_heavy
wh3_main_ksl_little_grom_impact	wh_main_impact_vlarge_water		wh3_main_cannonball_impact_vlarge_mud	wh3_main_cannonball_impact_vlarge_grass	wh3_main_cannonball_impact_vlarge_rock	wh3_main_cannonball_impact_vlarge_rock	wh3_main_cannonball_impact_vlarge_sand	wh3_main_cannonball_impact_vlarge_snow	wh_main_impact_vlarge_leather	wh3_main_cannonball_impact_vlarge_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_main_nur_soulgrinder_bombard	wh3_main_nur_soulgrinder_projectile_impact		wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact	wh3_main_nur_soulgrinder_projectile_impact		wh_main_unit_impact_heavy
wh3_main_ogr_gnoblar_scraplauncher	wh_main_impact_large_water		wh3_main_ogr_gnoblar_scraplauncher_impact_grass	wh3_main_ogr_gnoblar_scraplauncher_impact_grass	wh3_main_ogr_gnoblar_scraplauncher_impact_rock	wh3_main_ogr_gnoblar_scraplauncher_impact_rock	wh3_main_ogr_gnoblar_scraplauncher_impact_sand	wh3_main_ogr_gnoblar_scraplauncher_impact_snow	wh_main_cannonball_impact_large_leather	wh_main_cannonball_impact_large_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_main_ogr_lead_belcher_impact	wh_main_impact_large_water		wh3_main_ogr_lead_belcher_impact_grass	wh3_main_ogr_lead_belcher_impact_grass	wh3_main_ogr_lead_belcher_impact_rock	wh3_main_ogr_lead_belcher_impact_rock	wh3_main_ogr_lead_belcher_impact_sand	wh3_main_ogr_lead_belcher_impact_snow	wh_main_cannonball_impact_large_leather	wh_main_cannonball_impact_large_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh3_main_spell_slaanesh_slicing_shards	wh_main_impact_medium_water		wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact	wh3_main_slaanesh_slicing_shards_impact		wh_main_unit_impact_light
wh3_main_spell_tempest_hailstorm	wh_main_impact_medium_water		wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_impact	wh3_main_tempest_hailstorm_explosion	wh3_main_tempest_hailstorm_impact		wh_main_unit_impact_light
wh3_main_spell_tzeentch_blue_fire_of_tzeentch	wh_main_impact_medium_water		wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact	wh3_main_tzeentch_blue_flame_impact		wh_main_unit_impact_light
wh3_main_tower_ksl_lightning	wh_main_impact_medium_water		wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact	wh3_main_weapon_tower_ksl_lightning_impact		wh_main_unit_impact_medium
