base_battlefield_building	culture	prefab_path	settlement_gun_type	survival_gun_type	settlement_construction_delay	settlement_dismantle_delay	survival_construction_delay	survival_dismantle_delay
blk_ksl_tower_30m_02	wh_main_brt_bretonnia	prefabs\brt_toggle_tower_02.bmd	wh3_settlement_tower_brt_arrow_improved	wh3_survival_tower_brt_arrow_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_brt_bretonnia	prefabs\brt_toggle_tower_03.bmd	wh3_settlement_tower_brt_blessed_stone	wh3_survival_tower_brt_blessed_stone	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_brt_bretonnia	prefabs\brt_toggle_tower_04.bmd	wh3_settlement_tower_brt_carcass	wh3_survival_tower_brt_carcass	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_brt_bretonnia	prefabs\brt_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_brt_bretonnia	prefabs\brt_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_brt_bretonnia	prefabs\brt_monument_deco.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_brt_bretonnia	prefabs\brt_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_chs_chaos	prefabs\chs_toggle_tower_01.bmd	wh3_settlement_tower_chs_javelin	wh3_survival_tower_chs_javelin	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_main_chs_chaos	prefabs\chs_toggle_tower_02.bmd	wh3_settlement_tower_chs_javelin_improved	wh3_survival_tower_chs_javelin_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_chs_chaos	prefabs\chs_toggle_tower_03.bmd	wh3_settlement_tower_chs_hellcannon	wh3_survival_tower_chs_hellcannon	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_chs_chaos	prefabs\chs_toggle_tower_04.bmd	wh3_settlement_tower_chs_hellcannon_improved	wh3_survival_tower_chs_hellcannon_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_chs_chaos	prefabs\chs_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_chs_chaos	prefabs\chs_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_chs_chaos	prefabs\chs_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_chs_chaos	prefabs\chs_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_dwf_dwarfs	prefabs\dwf_toggle_tower_01.bmd	wh3_settlement_tower_dwf_bullet	wh3_survival_tower_dwf_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_main_dwf_dwarfs	prefabs\dwf_toggle_tower_02.bmd	wh3_settlement_tower_dwf_bullet_improved	wh3_survival_tower_dwf_bullet_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_dwf_dwarfs	prefabs\dwf_toggle_tower_03.bmd	wh3_settlement_tower_dwf_cannon_ball	wh3_survival_tower_dwf_cannon_ball	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_dwf_dwarfs	prefabs\dwf_toggle_tower_04.bmd	wh3_settlement_tower_dwf_fused_beer_keg	wh3_survival_tower_dwf_fused_beer_keg	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_dwf_dwarfs	prefabs\dwf_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_dwf_dwarfs	prefabs\dwf_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_dwf_dwarfs	prefabs\dwf_monument_ammo.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_dwf_dwarfs	prefabs\dwf_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_emp_empire	prefabs\emp_toggle_tower_01.bmd	wh3_settlement_tower_emp_bullet	wh3_survival_tower_emp_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_main_emp_empire	prefabs\emp_toggle_tower_02.bmd	wh3_settlement_tower_emp_bullet_improved	wh3_survival_tower_emp_bullet_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_emp_empire	prefabs\emp_toggle_tower_03.bmd	wh3_settlement_tower_emp_cannon_ball	wh3_survival_tower_emp_cannon_ball	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_emp_empire	prefabs\emp_toggle_tower_04.bmd	wh3_settlement_tower_emp_clockwork_bomb	wh3_survival_tower_emp_clockwork_bomb	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_emp_empire	prefabs\emp_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_emp_empire	prefabs\emp_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_emp_empire	prefabs\emp_monument_ammo.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_emp_empire	prefabs\emp_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_grn_greenskins	prefabs\grn_toggle_tower_01.bmd	wh3_settlement_tower_grn_arrow	wh3_survival_tower_grn_arrow	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_main_grn_greenskins	prefabs\grn_toggle_tower_02.bmd	wh3_settlement_tower_grn_arrow_improved	wh3_survival_tower_grn_arrow_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_grn_greenskins	prefabs\grn_toggle_tower_03.bmd	wh3_settlement_tower_grn_giant_dungball	wh3_survival_tower_grn_giant_dungball	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_grn_greenskins	prefabs\grn_toggle_tower_04.bmd	wh3_settlement_tower_grn_rock_idol	wh3_survival_tower_grn_rock_idol	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_grn_greenskins	prefabs\grn_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_grn_greenskins	prefabs\grn_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_grn_greenskins	prefabs\grn_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_grn_greenskins	prefabs\grn_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_vmp_vampire_counts	prefabs\vmp_toggle_tower_01.bmd	wh3_settlement_tower_vmp_bones	wh3_survival_tower_vmp_bones	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_main_vmp_vampire_counts	prefabs\vmp_toggle_tower_02.bmd	wh3_settlement_tower_vmp_bones_improved	wh3_survival_tower_vmp_bones_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_main_vmp_vampire_counts	prefabs\vmp_toggle_tower_03.bmd	wh3_settlement_tower_vmp_caged_bats	wh3_survival_tower_vmp_caged_bats	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_main_vmp_vampire_counts	prefabs\vmp_toggle_tower_04.bmd	wh3_settlement_tower_vmp_corpse_ball	wh3_survival_tower_vmp_corpse_ball	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_main_vmp_vampire_counts	prefabs\vmp_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_main_vmp_vampire_counts	prefabs\vmp_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_main_vmp_vampire_counts	prefabs\vmp_monument_undertakers.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_main_vmp_vampire_counts	prefabs\vmp_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
