operation_armory_item	operation_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	wh3_main_operation_set_dae_undivided_1960
wh3_main_dae_cha_daemon_prince_legs_base_4	wh3_main_operation_set_dae_undivided_2100
wh3_main_dae_cha_daemon_prince_torso_base_7	wh3_main_operation_set_dae_undivided_2240
wh3_main_dae_cha_daemon_prince_head_base_4	wh3_main_operation_set_dae_undivided_2380
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	wh3_main_operation_set_dae_undivided_2520
wh3_main_dae_cha_daemon_prince_tail_base_4	wh3_main_operation_set_dae_undivided_2660
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	wh3_main_operation_set_dae_undivided_2800
wh3_main_dae_cha_daemon_prince_head_base_2	wh3_main_operation_set_dae_undivided_280
wh3_main_dae_cha_daemon_prince_torso_base_9	wh3_main_operation_set_dae_undivided_2940
wh3_main_dae_cha_daemon_prince_head_base_3	wh3_main_operation_set_dae_undivided_3080
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	wh3_main_operation_set_dae_undivided_3220
wh3_main_dae_cha_daemon_prince_wings_base_4	wh3_main_operation_set_dae_undivided_3360
wh3_main_dae_cha_daemon_prince_head_base_5	wh3_main_operation_set_dae_undivided_3500
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_5	wh3_main_operation_set_dae_undivided_3640
wh3_main_dae_cha_daemon_prince_legs_base_6	wh3_main_operation_set_dae_undivided_4060
wh3_main_dae_cha_daemon_prince_wings_base_3	wh3_main_operation_set_dae_undivided_4200
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	wh3_main_operation_set_dae_undivided_420
wh3_main_dae_cha_daemon_prince_tail_base_3	wh3_main_operation_set_dae_undivided_4340
wh3_main_dae_cha_daemon_prince_tail_base_6	wh3_main_operation_set_dae_undivided_4480
wh3_main_dae_cha_daemon_prince_legs_base_3	wh3_main_operation_set_dae_undivided_4620
wh3_main_dae_cha_daemon_prince_wings_base_5	wh3_main_operation_set_dae_undivided_4760
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh3_main_operation_set_dae_undivided_4900
wh3_main_dae_cha_daemon_prince_arm_r_base_4	wh3_main_operation_set_dae_undivided_4900
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh3_main_operation_set_dae_undivided_5040
wh3_main_dae_cha_daemon_prince_arm_r_base_2	wh3_main_operation_set_dae_undivided_5040
wh3_main_dae_cha_daemon_prince_legs_base_5	wh3_main_operation_set_dae_undivided_5180
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	wh3_main_operation_set_dae_undivided_5180
wh3_main_dae_cha_daemon_prince_head_base_6	wh3_main_operation_set_dae_undivided_5320
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	wh3_main_operation_set_dae_undivided_5320
wh3_main_dae_cha_daemon_prince_torso_base_8	wh3_main_operation_set_dae_undivided_5460
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	wh3_main_operation_set_dae_undivided_5460
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	wh3_main_operation_set_dae_undivided_5600
wh3_main_dae_cha_daemon_prince_wings_base_1	wh3_main_operation_set_dae_undivided_5600
wh3_main_dae_cha_daemon_prince_legs_base_2	wh3_main_operation_set_dae_undivided_560
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	wh3_main_operation_set_dae_undivided_700
wh3_main_dae_cha_daemon_prince_wings_base_6	wh3_main_operation_set_dae_undivided_840
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh3_main_operation_set_dae_undivided_980
wh3_pro10_mom_trial_dae_cha_daemon_prince_arm_l_0	wh3_pro10_operation_set_dae_trial_set_bronze_01
wh3_pro10_mom_trial_dae_cha_daemon_prince_arm_r_0	wh3_pro10_operation_set_dae_trial_set_bronze_02
wh3_pro10_mom_trial_dae_cha_daemon_prince_legs_0	wh3_pro10_operation_set_dae_trial_set_bronze_03
wh3_pro10_mom_trial_dae_cha_daemon_prince_tail_0	wh3_pro10_operation_set_dae_trial_set_bronze_04
wh3_pro10_mom_trial_dae_cha_daemon_prince_torso_0	wh3_pro10_operation_set_dae_trial_set_bronze_05
wh3_pro10_mom_trial_dae_cha_daemon_prince_wings_0	wh3_pro10_operation_set_dae_trial_set_gold_01
wh3_pro10_mom_trial_dae_cha_daemon_prince_head_0	wh3_pro10_operation_set_dae_trial_set_gold_02
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_0	wh3_pro10_operation_set_dae_trial_set_gold_03
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_1	wh3_pro10_operation_set_dae_trial_set_gold_04
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_2	wh3_pro10_operation_set_dae_trial_set_gold_05
