attrition_record	bonus_value_id	effect
wasteland	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
mountain	immunity	wh_dlc05_effect_force_army_campaign_attrition_mountain_immunity
swamp	immunity	wh_dlc05_effect_force_army_campaign_attrition_swamp_immunity
wasteland	immunity	wh_dlc07_effect_attrition_immunity_badlands
snow	immunity	wh_dlc07_effect_attrition_immunity_snow
vampire_territory	damage_mod	wh_dlc07_effect_campaign_attrition_vampiric_attrition_casualties_good
vampire_territory	damage_mod	wh_dlc07_effect_campaign_attrition_vampiric_attrition_casualties
deep_sea	immunity	wh_dlc08_effect_attrition_immunity_high_seas
nurgle_plague	active	wh_dlc08_effect_nurgle_plague_attrition
awakened_forest	damage_mod	wh_dlc08_effect_tech_army_campaign_attrition_athel_loren_resistance_good
awakened_forest	damage_mod	wh_dlc08_effect_tech_army_campaign_attrition_athel_loren_resistance
athel_loren	immunity	wh_dlc08_effect_throgg_attrition_immunity
awakened_forest	immunity	wh_dlc08_effect_throgg_attrition_immunity
besieged	immunity	wh_dlc08_effect_throgg_attrition_immunity
besieging	immunity	wh_dlc08_effect_throgg_attrition_immunity
blockaded	immunity	wh_dlc08_effect_throgg_attrition_immunity
blockading	immunity	wh_dlc08_effect_throgg_attrition_immunity
blood_voyage_desertion	immunity	wh_dlc08_effect_throgg_attrition_immunity
building_attrition	immunity	wh_dlc08_effect_throgg_attrition_immunity
chaos_territory	immunity	wh_dlc08_effect_throgg_attrition_immunity
chaos_wastes	immunity	wh_dlc08_effect_throgg_attrition_immunity
chaos_wastes_bonus_value	immunity	wh_dlc08_effect_throgg_attrition_immunity
chd_summoned_army	immunity	wh_dlc08_effect_throgg_attrition_immunity
compass	immunity	wh_dlc08_effect_throgg_attrition_immunity
deep_sea	immunity	wh_dlc08_effect_throgg_attrition_immunity
desert	immunity	wh_dlc08_effect_throgg_attrition_immunity
disciple_army	immunity	wh_dlc08_effect_throgg_attrition_immunity
disease	immunity	wh_dlc08_effect_throgg_attrition_immunity
dlc17_despoiler_raiding	immunity	wh_dlc08_effect_throgg_attrition_immunity
event_attrition	immunity	wh_dlc08_effect_throgg_attrition_immunity
horde_infighting	immunity	wh_dlc08_effect_throgg_attrition_immunity
hostile_territory	immunity	wh_dlc08_effect_throgg_attrition_immunity
kho_summoned_army	immunity	wh_dlc08_effect_throgg_attrition_immunity
khorne_infighting	immunity	wh_dlc08_effect_throgg_attrition_immunity
kislev_winter	immunity	wh_dlc08_effect_throgg_attrition_immunity
lizard_defenders	immunity	wh_dlc08_effect_throgg_attrition_immunity
low_morale	immunity	wh_dlc08_effect_throgg_attrition_immunity
malediction_of_ruin	immunity	wh_dlc08_effect_throgg_attrition_immunity
mist	immunity	wh_dlc08_effect_throgg_attrition_immunity
mist_of_yvresse	immunity	wh_dlc08_effect_throgg_attrition_immunity
mountain	immunity	wh_dlc08_effect_throgg_attrition_immunity
non_vampire_territory	immunity	wh_dlc08_effect_throgg_attrition_immunity
nurgle_plague	immunity	wh_dlc08_effect_throgg_attrition_immunity
nurgle_realm	immunity	wh_dlc08_effect_throgg_attrition_immunity
ogre_meat	immunity	wh_dlc08_effect_throgg_attrition_immunity
plague_nurgle	immunity	wh_dlc08_effect_throgg_attrition_immunity
recreant_spirit	immunity	wh_dlc08_effect_throgg_attrition_immunity
reef	immunity	wh_dlc08_effect_throgg_attrition_immunity
sabotage	immunity	wh_dlc08_effect_throgg_attrition_immunity
sea_monster_storm	immunity	wh_dlc08_effect_throgg_attrition_immunity
snow	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_level_1	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_level_2	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_level_3	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_level_4	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_level_5	immunity	wh_dlc08_effect_throgg_attrition_immunity
storm_sandstorm	immunity	wh_dlc08_effect_throgg_attrition_immunity
swamp	immunity	wh_dlc08_effect_throgg_attrition_immunity
vampire_territory	immunity	wh_dlc08_effect_throgg_attrition_immunity
very_low_morale	immunity	wh_dlc08_effect_throgg_attrition_immunity
wasteland	immunity	wh_dlc08_effect_throgg_attrition_immunity
yuan_garrison_degradation	immunity	wh_dlc08_effect_throgg_attrition_immunity
athel_loren	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
awakened_forest	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
chaos_territory	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
chaos_wastes	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
deep_sea	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
desert	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
disease	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
hostile_territory	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
mist	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
mountain	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
nurgle_plague	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
reef	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
snow	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_level_1	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_level_2	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_level_3	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_level_4	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_level_5	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
storm_sandstorm	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
swamp	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
vampire_territory	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
wasteland	immunity	wh_dlc08_technology_effect_attrition_immunity_all_norscans
event_attrition_no_immunity	active	wh_main_effect_campaign_enable_attrition_no_immunity
event_attrition	active	wh_main_effect_campaign_enable_attrition
athel_loren	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
awakened_forest	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
besieged	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
besieging	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
blockaded	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
blockading	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
chaos_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
chaos_wastes	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
deep_sea	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
desert	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
hostile_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
mist	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
mountain	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
non_vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
nurgle_realm	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
reef	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
regionless	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
sabotage	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
snow	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_1	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_2	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_3	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_4	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_level_5	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
storm_sandstorm	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
swamp	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
very_low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
wasteland	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity_horde
athel_loren	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
awakened_forest	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
besieging	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
blockaded	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
blockading	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
building_attrition	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
chaos_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
chaos_wastes	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
chaos_wastes_bonus_value	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
deep_sea	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
desert	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
disease	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
event_attrition	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
hostile_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
kislev_winter	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
lizard_defenders	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
mist	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
mist_of_yvresse	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
mountain	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
non_vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
nurgle_plague	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
nurgle_realm	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
ogre_meat	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
plague_nurgle	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
reef	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
regionless	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
sabotage	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
sea_monster_storm	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
snow	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_level_1	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_level_2	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_level_3	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_level_4	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_level_5	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
storm_sandstorm	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
swamp	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
vampire_territory	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
very_low_morale	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
wasteland	immunity	wh_main_effect_force_army_campaign_attrition_all_immunity
athel_loren	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
awakened_forest	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
besieged	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
besieging	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
blockaded	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
blockading	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
blood_voyage_desertion	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
building_attrition	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
chaos_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
chaos_wastes	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
chaos_wastes_bonus_value	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
compass	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
deep_sea	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
desert	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
disciple_army	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
disease	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
dlc17_despoiler_raiding	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
event_attrition	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
event_attrition_no_immunity	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
horde_infighting	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
hostile_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
kho_summoned_army	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
khorne_infighting	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
kislev_winter	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
lizard_defenders	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
low_morale	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
mist	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
mist_of_yvresse	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
mountain	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
non_vampire_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
nurgle_plague	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
nurgle_realm	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
ogre_meat	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
plague_nurgle	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
reef	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
regionless	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
sabotage	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
sea_monster_storm	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
snow	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_level_1	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_level_2	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_level_3	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_level_4	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_level_5	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
storm_sandstorm	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
swamp	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
vampire_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
very_low_morale	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
wasteland	damage_mod	wh_main_effect_force_army_campaign_attrition_all_resistance
chaos_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_chaos_territory
chaos_wastes	damage_mod	wh_main_effect_force_army_campaign_attrition_chaos_territory
desert	damage_mod	wh_main_effect_force_army_campaign_attrition_desert_resistance
horde_infighting	immunity	wh_main_effect_force_army_campaign_attrition_infighting_immunity
non_vampire_territory	damage_mod	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory
snow	damage_mod	wh_main_effect_force_army_campaign_attrition_snow_resistance
swamp	damage_mod	wh_main_effect_force_army_campaign_attrition_swamp_resistance
besieged	damage_mod	wh_main_effect_force_army_campaign_siege_attack_attrition
besieged	damage_mod	wh_main_effect_force_army_campaign_siege_defend_attrition_bad
besieged	damage_mod	wh_main_effect_force_army_campaign_siege_defend_attrition
deep_sea	damage_mod	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance
chaos_territory	active	wh_main_effect_region_enable_chaos_attrition_good
chaos_territory	active	wh_main_effect_region_enable_chaos_attrition
non_vampire_territory	active	wh_main_effect_region_enable_non_vampire_territory_attrition
vampire_territory	active	wh_main_effect_region_enable_vampire_territory_attrition_bad
vampire_territory	active	wh_main_effect_region_enable_vampire_territory_attrition
