choice_key	dilemma_key	incident_key
SECOND	wh2_main_dilemma_treasure_hunt_hidden_tunnel	wh2_main_dilemma_treasure_hunt_hidden_tunnel_2_a
SECOND	wh2_main_dilemma_treasure_hunt_hidden_tunnel	wh2_main_dilemma_treasure_hunt_hidden_tunnel_2_b
THIRD	wh2_main_dilemma_treasure_hunt_hidden_tunnel	wh2_main_dilemma_treasure_hunt_hidden_tunnel_3_a
THIRD	wh2_main_dilemma_treasure_hunt_hidden_tunnel	wh2_main_dilemma_treasure_hunt_hidden_tunnel_3_b
FIRST	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_4_b
SECOND	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_2_a
SECOND	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_2_b
THIRD	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_3_a
THIRD	wh2_main_dilemma_treasure_hunt_mechanical_automaton	wh2_main_dilemma_treasure_hunt_mechanical_automaton_3_b
FIRST	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_4_b
SECOND	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_2_a
SECOND	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_2_b
THIRD	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_3_a
THIRD	wh2_main_dilemma_treasure_hunt_picked_clean	wh2_main_dilemma_treasure_hunt_picked_clean_3_b
FIRST	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_4_b
SECOND	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_2_a
SECOND	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_2_b
THIRD	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_3_a
THIRD	wh2_main_dilemma_treasure_hunt_rebel_army	wh2_main_dilemma_treasure_hunt_rebel_army_3_b
FIRST	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_4_b
SECOND	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_2_a
SECOND	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_2_b
THIRD	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_3_a
THIRD	wh2_main_dilemma_treasure_hunt_scavengers	wh2_main_dilemma_treasure_hunt_scavengers_3_b
FIRST	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_4_b
SECOND	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_2_a
THIRD	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_3_a
THIRD	wh2_main_dilemma_treasure_hunt_she_daemon_lair	wh2_main_dilemma_treasure_hunt_she_daemon_lair_3_b
FIRST	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_4_b
SECOND	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_2_a
SECOND	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_2_a_horde
SECOND	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_2_b
THIRD	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_3_a
THIRD	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_3_a_horde
THIRD	wh2_main_dilemma_treasure_hunt_shrine_to_nagash	wh2_main_dilemma_treasure_hunt_shrine_to_nagash_3_b
FIRST	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_1_b
FOURTH	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_4_b
SECOND	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_2_a
SECOND	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_2_b
THIRD	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_3_a
THIRD	wh2_main_dilemma_treasure_hunt_skaven_ambush	wh2_main_dilemma_treasure_hunt_skaven_ambush_3_b
FIRST	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_4_b
SECOND	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_2_a
SECOND	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_2_b
THIRD	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_3_a
THIRD	wh2_main_dilemma_treasure_hunt_skaven_burrow	wh2_main_dilemma_treasure_hunt_skaven_burrow_3_b
FIRST	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_4_b
SECOND	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_2_a
THIRD	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_3_a
THIRD	wh2_main_dilemma_treasure_hunt_slaanesh_fungi	wh2_main_dilemma_treasure_hunt_slaanesh_fungi_3_b
FIRST	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_4_b
SECOND	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_2_a
SECOND	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_2_b
THIRD	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_3_a
THIRD	wh2_main_dilemma_treasure_hunt_spider_nest	wh2_main_dilemma_treasure_hunt_spider_nest_3_b
FIRST	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_4_b
SECOND	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_2_a
SECOND	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_2_b
THIRD	wh2_main_dilemma_treasure_hunt_the_cursed_sword	wh2_main_dilemma_treasure_hunt_the_cursed_sword_3_a
FIRST	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_4_b
SECOND	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_2_a
SECOND	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_2_b
THIRD	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_3_a
THIRD	wh2_main_dilemma_treasure_hunt_the_tattered_library	wh2_main_dilemma_treasure_hunt_the_tattered_library_3_b
FIRST	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_4_b
SECOND	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_2_a
SECOND	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_2_b
THIRD	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_3_a
THIRD	wh2_main_dilemma_treasure_hunt_the_underworld_sea	wh2_main_dilemma_treasure_hunt_the_underworld_sea_3_b
FIRST	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_4_b
SECOND	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_2_a
SECOND	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_2_b
THIRD	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy	wh2_main_dilemma_treasure_hunt_tomb_of_the_mummy_3_a
FIRST	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_4_b
SECOND	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_2_a
SECOND	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_2_a_spy
SECOND	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_2_b
THIRD	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_3_a
THIRD	wh2_main_dilemma_treasure_hunt_trapped_survivor	wh2_main_dilemma_treasure_hunt_trapped_survivor_3_b
FIRST	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_1_b
FOURTH	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_4_b
SECOND	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_2_a
SECOND	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_2_b
THIRD	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_3_a
THIRD	wh2_main_dilemma_treasure_hunt_trapped_vault	wh2_main_dilemma_treasure_hunt_trapped_vault_3_b
FIRST	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_1_a
FOURTH	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_4_a
FOURTH	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_4_b
SECOND	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_2_a
SECOND	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_2_b
THIRD	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_3_a
THIRD	wh2_main_dilemma_treasure_hunt_undead	wh2_main_dilemma_treasure_hunt_undead_3_b
FIFTH	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_beast_darklands_common
FIFTH	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_beast_darklands_rare
FIRST	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_sorceresses_common
FIRST	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_sorceresses_rare
FOURTH	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_lustria_common
FOURTH	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_lustria_rare
SECOND	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_old_world_common
SECOND	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_old_world_rare
THIRD	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_beast_market_common
THIRD	wh2_twa03_dilemma_rakarth_rite	wh2_twa03_incident_rakarth_dilemma_beast_market_rare
FIRST	wh3_dlc23_chd_ancestor_relic_of_gazul	wh3_dlc23_chd_ancestor_relic_of_gazul_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_gazul	wh3_dlc23_chd_ancestor_relic_of_gazul_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_grimnir	wh3_dlc23_chd_ancestor_relic_of_grimnir_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_grimnir	wh3_dlc23_chd_ancestor_relic_of_grimnir_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_grungni	wh3_dlc23_chd_ancestor_relic_of_grungni_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_grungni	wh3_dlc23_chd_ancestor_relic_of_grungni_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_morgrim	wh3_dlc23_chd_ancestor_relic_of_morgrim_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_morgrim	wh3_dlc23_chd_ancestor_relic_of_morgrim_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_skavor	wh3_dlc23_chd_ancestor_relic_of_skavor_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_skavor	wh3_dlc23_chd_ancestor_relic_of_skavor_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_smednir	wh3_dlc23_chd_ancestor_relic_of_smednir_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_smednir	wh3_dlc23_chd_ancestor_relic_of_smednir_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_thungni	wh3_dlc23_chd_ancestor_relic_of_thungni_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_thungni	wh3_dlc23_chd_ancestor_relic_of_thungni_reward_b
FIRST	wh3_dlc23_chd_ancestor_relic_of_valaya	wh3_dlc23_chd_ancestor_relic_of_valaya_reward_a
SECOND	wh3_dlc23_chd_ancestor_relic_of_valaya	wh3_dlc23_chd_ancestor_relic_of_valaya_reward_b
FIRST	wh3_dlc23_neu_ulrika_choice	wh3_dlc23_neu_ulrika_recruit
SECOND	wh3_dlc23_neu_ulrika_choice	wh3_dlc23_neu_ulrika_execute
FIRST	wh3_dlc24_cth_saytang_choice	wh3_dlc24_cth_saytang_unlock_01
SECOND	wh3_dlc24_cth_saytang_choice	wh3_dlc24_cth_saytang_unlock_02
FIRST	wh3_dlc24_ksl_golden_knight_choice	wh3_dlc24_ksl_golden_knight_unlock_01
SECOND	wh3_dlc24_ksl_golden_knight_choice	wh3_dlc24_ksl_golden_knight_unlock_02
FIRST	wh3_dlc24_tze_aekold_helbras_choice	wh3_dlc24_tze_aekold_helbras_unlock_01
SECOND	wh3_dlc24_tze_aekold_helbras_choice	wh3_dlc24_tze_aekold_helbras_unlock_02
FIRST	wh3_dlc24_tze_blue_scribes_choice	wh3_dlc24_tze_blue_scribes_unlock_01
SECOND	wh3_dlc24_tze_blue_scribes_choice	wh3_dlc24_tze_blue_scribes_unlock_02
SECOND	wh_main_all_under_the_dark_moons_glare	wh_main_incident_all_the_glower_of_morrslieb
FIRST	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3_1
SECOND	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3_2
