difficulty_level	faction	budget	group
1	wh3_main_rogue_shadow_legion	4000	wh3_main_rogue_group_shadow_legion
2	wh3_main_rogue_shadow_legion	8000	wh3_main_rogue_group_shadow_legion
3	wh3_main_rogue_shadow_legion	10000	wh3_main_rogue_group_shadow_legion
4	wh3_main_rogue_shadow_legion	10000	wh3_main_rogue_group_shadow_legion
0	wh3_main_rogue_shrouded_wanderers_of_undead	2000	wh3_main_rogue_shrouded_wanderers_of_undead
1	wh3_main_rogue_shrouded_wanderers_of_undead	2000	wh3_main_rogue_shrouded_wanderers_of_undead
2	wh3_main_rogue_shrouded_wanderers_of_undead	2000	wh3_main_rogue_shrouded_wanderers_of_undead
3	wh3_main_rogue_shrouded_wanderers_of_undead	2000	wh3_main_rogue_shrouded_wanderers_of_undead
4	wh3_main_rogue_shrouded_wanderers_of_undead	2000	wh3_main_rogue_shrouded_wanderers_of_undead
0	wh3_main_rogue_the_baleful_princes_muses	2000	wh3_main_rogue_group_the_baleful_princes_muses
1	wh3_main_rogue_the_baleful_princes_muses	4000	wh3_main_rogue_group_the_baleful_princes_muses
2	wh3_main_rogue_the_baleful_princes_muses	8000	wh3_main_rogue_group_the_baleful_princes_muses
3	wh3_main_rogue_the_baleful_princes_muses	10000	wh3_main_rogue_group_the_baleful_princes_muses
4	wh3_main_rogue_the_baleful_princes_muses	10000	wh3_main_rogue_group_the_baleful_princes_muses
0	wh3_main_rogue_the_bloody_harvest	2000	wh3_main_rogue_group_the_bloody_harvest
1	wh3_main_rogue_the_bloody_harvest	4000	wh3_main_rogue_group_the_bloody_harvest
2	wh3_main_rogue_the_bloody_harvest	8000	wh3_main_rogue_group_the_bloody_harvest
3	wh3_main_rogue_the_bloody_harvest	10000	wh3_main_rogue_group_the_bloody_harvest
4	wh3_main_rogue_the_bloody_harvest	10000	wh3_main_rogue_group_the_bloody_harvest
0	wh3_main_rogue_the_challenge_stone_pact	2000	wh3_main_rogue_group_the_challenge_stone_pact
1	wh3_main_rogue_the_challenge_stone_pact	4000	wh3_main_rogue_group_the_challenge_stone_pact
2	wh3_main_rogue_the_challenge_stone_pact	8000	wh3_main_rogue_group_the_challenge_stone_pact
3	wh3_main_rogue_the_challenge_stone_pact	10000	wh3_main_rogue_group_the_challenge_stone_pact
4	wh3_main_rogue_the_challenge_stone_pact	10000	wh3_main_rogue_group_the_challenge_stone_pact
0	wh3_main_rogue_the_convent	2000	wh3_main_rogue_group_the_convent
1	wh3_main_rogue_the_convent	4000	wh3_main_rogue_group_the_convent
2	wh3_main_rogue_the_convent	8000	wh3_main_rogue_group_the_convent
3	wh3_main_rogue_the_convent	10000	wh3_main_rogue_group_the_convent
4	wh3_main_rogue_the_convent	10000	wh3_main_rogue_group_the_convent
0	wh3_main_rogue_the_fluxion_host	2000	wh3_main_rogue_group_the_fluxion_host
1	wh3_main_rogue_the_fluxion_host	4000	wh3_main_rogue_group_the_fluxion_host
2	wh3_main_rogue_the_fluxion_host	8000	wh3_main_rogue_group_the_fluxion_host
3	wh3_main_rogue_the_fluxion_host	10000	wh3_main_rogue_group_the_fluxion_host
4	wh3_main_rogue_the_fluxion_host	10000	wh3_main_rogue_group_the_fluxion_host
0	wh3_main_rogue_the_glothal_brood	2000	wh3_main_rogue_group_the_glothal_brood
1	wh3_main_rogue_the_glothal_brood	4000	wh3_main_rogue_group_the_glothal_brood
2	wh3_main_rogue_the_glothal_brood	8000	wh3_main_rogue_group_the_glothal_brood
3	wh3_main_rogue_the_glothal_brood	10000	wh3_main_rogue_group_the_glothal_brood
4	wh3_main_rogue_the_glothal_brood	10000	wh3_main_rogue_group_the_glothal_brood
0	wh3_main_rogue_the_pleasure_tide	2000	wh3_main_rogue_group_the_pleasure_tide
1	wh3_main_rogue_the_pleasure_tide	4000	wh3_main_rogue_group_the_pleasure_tide
2	wh3_main_rogue_the_pleasure_tide	8000	wh3_main_rogue_group_the_pleasure_tide
3	wh3_main_rogue_the_pleasure_tide	10000	wh3_main_rogue_group_the_pleasure_tide
4	wh3_main_rogue_the_pleasure_tide	10000	wh3_main_rogue_group_the_pleasure_tide
0	wh3_main_rogue_the_putrid_swarm	2000	wh3_main_rogue_group_the_putrid_swarm
1	wh3_main_rogue_the_putrid_swarm	4000	wh3_main_rogue_group_the_putrid_swarm
2	wh3_main_rogue_the_putrid_swarm	8000	wh3_main_rogue_group_the_putrid_swarm
3	wh3_main_rogue_the_putrid_swarm	10000	wh3_main_rogue_group_the_putrid_swarm
4	wh3_main_rogue_the_putrid_swarm	10000	wh3_main_rogue_group_the_putrid_swarm
0	wh3_main_rogue_the_treaty_of_ashshair	2000	wh3_main_rogue_group_the_treaty_of_ashshair
1	wh3_main_rogue_the_treaty_of_ashshair	4000	wh3_main_rogue_group_the_treaty_of_ashshair
2	wh3_main_rogue_the_treaty_of_ashshair	8000	wh3_main_rogue_group_the_treaty_of_ashshair
3	wh3_main_rogue_the_treaty_of_ashshair	10000	wh3_main_rogue_group_the_treaty_of_ashshair
4	wh3_main_rogue_the_treaty_of_ashshair	10000	wh3_main_rogue_group_the_treaty_of_ashshair
