armory_item	category_set
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	weapon_2_handed
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_1	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_1	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_2	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_2	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_3	khorne
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_3	weapon_shield
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	generic
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_weapon_sword_1	generic
wh3_main_dae_cha_daemon_prince_weapon_sword_1	weapon_1_handed
wh3_main_dae_cha_daemon_prince_wings_base_1	generic
wh3_main_dae_cha_daemon_prince_wings_base_2	generic
wh3_main_dae_cha_daemon_prince_wings_base_3	generic
wh3_main_dae_cha_daemon_prince_wings_base_4	generic
wh3_main_dae_cha_daemon_prince_wings_base_5	generic
wh3_main_dae_cha_daemon_prince_wings_base_6	generic
wh3_main_dae_cha_daemon_prince_wings_beast_1	generic
wh3_main_dae_cha_daemon_prince_wings_beast_2	generic
wh3_main_dae_cha_daemon_prince_wings_beast_3	khorne
wh3_main_dae_cha_daemon_prince_wings_beast_4	generic
wh3_main_dae_cha_daemon_prince_wings_beast_5	khorne
wh3_main_dae_cha_daemon_prince_wings_beast_6	generic
wh3_main_dae_cha_daemon_prince_wings_bird_1	tzeentch
wh3_main_dae_cha_daemon_prince_wings_bird_2	tzeentch
wh3_main_dae_cha_daemon_prince_wings_bird_3	tzeentch
wh3_main_dae_cha_daemon_prince_wings_bird_4	tzeentch
wh3_main_dae_cha_daemon_prince_wings_bird_5	generic
wh3_main_dae_cha_daemon_prince_wings_bird_6	tzeentch
wh3_main_dae_cha_daemon_prince_wings_bird_7	generic
wh3_main_dae_cha_daemon_prince_wings_corpulent_1	generic
wh3_main_dae_cha_daemon_prince_wings_corpulent_2	generic
wh3_main_dae_cha_daemon_prince_wings_corpulent_3	generic
wh3_main_dae_cha_daemon_prince_wings_corpulent_4	nurgle
wh3_main_dae_cha_daemon_prince_wings_corpulent_5	nurgle
wh3_main_dae_cha_daemon_prince_wings_corpulent_6	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_1	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_2	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_3	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_4	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_5	generic
wh3_main_dae_cha_daemon_prince_wings_sensuous_6	generic
